Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct
Spectrila, 10 U poeder voor oplossing voor injectie of infusie;ASPARAGINASE (L-), RECOMBINANT;10 eenheden;Poeder voor oplossing voor injectie of infusie;ASPARAGINASE (L-), RECOMBINANT - 10 eenheden - Poeder voor oplossing voor injectie of infusie
Somavert 15 mg, poeder en oplosmiddel voor oplossing voor injectie;PEGVISOMANT;15 mg;Poeder en oplosmiddel voor oplossing voor injectie;PEGVISOMANT - 15 mg - Poeder en oplosmiddel voor oplossing voor injectie
Repaglinide STADA 2 mg, tabletten;REPAGLINIDE;2 mg;Tablet;REPAGLINIDE - 2 mg - Tablet
Skyclarys 50 mg harde capsules;OMAVELOXOLON;50 mg;Capsule;OMAVELOXOLON - 50 mg - Capsule
INOmax 400 ppm mol/mol, inhalatiegas;STIKSTOFOXIDE;400 ppm;Inhalatiegas;STIKSTOFOXIDE - 400 ppm - Inhalatiegas
Bimzelx 320 mg oplossing voor injectie in een voorgevulde pen;BIMEKIZUMAB;320 mg;Oplossing voor injectie;BIMEKIZUMAB - 320 mg - Oplossing voor injectie
Buvidal 32 mg oplossing voor injectie met verlengde afgifte;BUPRENORFINE;32 mg;Oplossing voor injectie;BUPRENORFINE - 32 mg - Oplossing voor injectie
Zegalogue 0,6 mg oplossing voor injectie in voorgevulde pen;DASIGLUCAGON;0,6 mg;Oplossing voor injectie;DASIGLUCAGON - 0,6 mg - Oplossing voor injectie
JERAYGO 25 mg filmomhulde tabletten;APROCITENTAN;25 mg;Filmomhulde tablet;APROCITENTAN - 25 mg - Filmomhulde tablet
Verzenios 100 mg filmomhulde tabletten;ABEMACICLIB;100 mg;Filmomhulde tablet;ABEMACICLIB - 100 mg - Filmomhulde tablet
Blastomat 140 mg, harde capsules;TEMOZOLOMIDE;140 mg;Capsule;TEMOZOLOMIDE - 140 mg - Capsule
Mantomed 15 mg, filmomhulde tabletten;MEMANTINE;15 mg;Filmomhulde tablet;MEMANTINE - 15 mg - Filmomhulde tablet
Cuitvar 0,5 mg + 1 mg, filmomhulde tabletten;VARENICLINE;0,5 mg;Filmomhulde tablet;VARENICLINE - 0,5 mg - Filmomhulde tablet
Ogluo 1 mg oplossing voor injectie in voorgevulde pen;GLUCAGON;1 mg;Oplossing voor injectie;GLUCAGON - 1 mg - Oplossing voor injectie
Olanzapine Mylan 15 mg, filmomhulde tabletten;OLANZAPINE;15 mg;Filmomhulde tablet;OLANZAPINE - 15 mg - Filmomhulde tablet
Edarbi 80 mg, tablet;AZILSARTANMEDOXOMIL;80 mg;Tablet;AZILSARTANMEDOXOMIL - 80 mg - Tablet
Agomelatine Mylan 25 mg, filmomhulde tabletten;AGOMELATINE CITROENZUUR;25 mg;Filmomhulde tablet;AGOMELATINE CITROENZUUR - 25 mg - Filmomhulde tablet
Pregamid 50 mg harde capsules;PREGABALINE;50 mg;Capsule;PREGABALINE - 50 mg - Capsule
Sildenafil STADA 25 mg, filmomhulde tabletten;SILDENAFIL;25 mg;Filmomhulde tablet;SILDENAFIL - 25 mg - Filmomhulde tablet
Epoetin alfa Hexal 2000 IE, oplossing voor injectie (in voorgevulde spuit);EPOËTINE ALFA;2000 IE;Oplossing voor injectie;EPOËTINE ALFA - 2000 IE - Oplossing voor injectie
Mircera 200 µg / 0,3 ml, oplossing voor injectie (in voorgevulde spuit);METHOXYPOLYETHYLEENGLYCOLEPOETINE BETA;200 mcg / 0,3 ml;Oplossing voor injectie;METHOXYPOLYETHYLEENGLYCOLEPOETINE BETA - 200 mcg / 0,3 ml - Oplossing voor injectie
Azacitidine Sandoz 25 mg/ml, poeder voor suspensie voor injectie;AZACITIDINE;25 mg/ml;Poeder voor suspensie voor injectie;AZACITIDINE - 25 mg/ml - Poeder voor suspensie voor injectie
ReFacto, 1000 IE poeder voor oplossing voor injectie;MOROCTOCOG ALFA;1000 IE;Poeder en oplosmiddel voor oplossing voor injectie;MOROCTOCOG ALFA - 1000 IE - Poeder en oplosmiddel voor oplossing voor injectie
Aprovel 75 mg, tabletten;IRBESARTAN;75 mg;Tablet;IRBESARTAN - 75 mg - Tablet
Xromi 100 mg/ml drank;HYDROXYCARBAMIDE;100 mg/ml;Drank;HYDROXYCARBAMIDE - 100 mg/ml - Drank
Jardiance 10 mg filmomhulde tabletten;EMPAGLIFLOZINE;10 mg;Filmomhulde tablet;EMPAGLIFLOZINE - 10 mg - Filmomhulde tablet
Telmisartan Actavis 40 mg  tabletten;TELMISARTAN;40 mg;Tablet;TELMISARTAN - 40 mg - Tablet
Trulicity 1,5 mg oplossing voor injectie in voorgevulde injectiespuit;DULAGLUTIDE;1,5 mg;Oplossing voor injectie;DULAGLUTIDE - 1,5 mg - Oplossing voor injectie
Sildenafil Teva 25 mg, kauwtabletten;SILDENAFIL;25 mg;Kauwtablet;SILDENAFIL - 25 mg - Kauwtablet
Mekinist 0,5 mg filmomhulde tablet;TRAMETINIBDIMETHYLSULFOXIDE;0,5 mg;Filmomhulde tablet;TRAMETINIBDIMETHYLSULFOXIDE - 0,5 mg - Filmomhulde tablet
Rivastigmine Sandoz 2 mg/ml, drank;RIVASTIGMINE;2 mg/ml;Drank;RIVASTIGMINE - 2 mg/ml - Drank
Eurartesim 320 mg/40 mg filmomhulde tabletten;ARTENIMOL/PIPERAQUINETETRA;320 mg/40 mg;Filmomhulde tablet;ARTENIMOL/PIPERAQUINETETRA - 320 mg/40 mg - Filmomhulde tablet
Xtandi 40 mg filmomhulde tabletten;ENZALUTAMIDE;40 mg;Filmomhulde tablet;ENZALUTAMIDE - 40 mg - Filmomhulde tablet
Hirobriz Breezhaler 300 microgam, inhalatiepoeder in harde capsule;INDACATEROL, GEMICRONISEERD;300 mcg;Inhalatiepoeder in harde capsule;INDACATEROL, GEMICRONISEERD - 300 mcg - Inhalatiepoeder in harde capsule
Velbienne 1 mg/2 mg, filmomhulde tabletten;DIENOGEST/ESTRADIOL;1 mg/2 mg;Filmomhulde tablet;DIENOGEST/ESTRADIOL - 1 mg/2 mg - Filmomhulde tablet
Ceprotin 500 IE, poeder en oplosmiddel voor oplossing voor injectie;PROTEÏNE C, HUMAAN;500 IE;Poeder en oplosmiddel voor oplossing voor infusie;PROTEÏNE C, HUMAAN - 500 IE - Poeder en oplosmiddel voor oplossing voor infusie
Aripiprazole Zentiva 30 mg, orodispergeerbare tabletten;ARIPIPRAZOL;30 mg;Orodispergeerbare tablet;ARIPIPRAZOL - 30 mg - Orodispergeerbare tablet
Cabometyx 60 mg, filmomhulde tablet;CABOZANTINIB (S)-;60 mg;Filmomhulde tablet;CABOZANTINIB (S)- - 60 mg - Filmomhulde tablet
Rixathon 100 mg, concentraat voor oplossing voor infusie;RITUXIMAB;100 mg;Concentraat voor oplossing voor infusie;RITUXIMAB - 100 mg - Concentraat voor oplossing voor infusie
Zykadia 150 mg harde capsules;CERITINIB;150 mg;Capsule;CERITINIB - 150 mg - Capsule
Imjudo 20 mg/ml, concentraat voor oplossing voor infusie;TREMELIMUMAB;20 mg/ml;Concentraat voor oplossing voor infusie;TREMELIMUMAB - 20 mg/ml - Concentraat voor oplossing voor infusie
Lumigan 0,3 mg/ml, oogdruppels;BIMATOPROST;0,3 mg/ml;Oogdruppels;BIMATOPROST - 0,3 mg/ml - Oogdruppels
Actraphane 30 100 internationale eenheden/ml suspensie voor injectie in injectieflacon;INSULINE HUMAAN/INSULINE ISOFAAN, HUMAAN;100 IE/ml;Suspensie voor injectie;INSULINE HUMAAN/INSULINE ISOFAAN, HUMAAN - 100 IE/ml - Suspensie voor injectie
Sunlenca 300 mg filmomhulde tabletten;LENACAPAVIR;300 mg;Filmomhulde tablet;LENACAPAVIR - 300 mg - Filmomhulde tablet
Sunitinib betapharm 37,5 mg harde capsules;SUNITINIB;37,5 mg;Capsule;SUNITINIB - 37,5 mg - Capsule
Elocta 4000 IU, poeder en oplosmiddel voor oplossing voor injectie;EFMOROCTOCOG ALFA;4000 IE;Poeder en oplosmiddel voor oplossing voor injectie;EFMOROCTOCOG ALFA - 4000 IE - Poeder en oplosmiddel voor oplossing voor injectie
Prometax 4,6 mg/24 u, pleister voor transdermaal gebruik;RIVASTIGMINE;4,6 mg/24 eenheden;Pleister voor transdermaal gebruik;RIVASTIGMINE - 4,6 mg/24 eenheden - Pleister voor transdermaal gebruik
Dectova 10 mg/ml, oplossing voor infusie;ZANAMIVIR;10 mg/ml;Oplossing voor infusie;ZANAMIVIR - 10 mg/ml - Oplossing voor infusie
Enzalutamide AGmed 40 mg, filmomhulde tabletten;ENZALUTAMIDE;40 mg;Filmomhulde tablet;ENZALUTAMIDE - 40 mg - Filmomhulde tablet
Apretude 600 mg suspensie voor injectie met verlengde afgifte;CABOTEGRAVIR;600 mg;Suspensie voor injectie;CABOTEGRAVIR - 600 mg - Suspensie voor injectie
BroPair® Spiromax®, 14 microgram/232 microgram, inhalatie poeder;FLUTICASON/SALMETEROL;14 mcg/232 mcg;Inhalatiepoeder;FLUTICASON/SALMETEROL - 14 mcg/232 mcg - Inhalatiepoeder
Rosytona 50 mg, kauwtabletten;SILDENAFIL;50 mg;Kauwtablet;SILDENAFIL - 50 mg - Kauwtablet
Briviact 100 mg, filmomhulde tabletten;BRIVARACETAM;100 mg;Filmomhulde tablet;BRIVARACETAM - 100 mg - Filmomhulde tablet
TRUQAP 160 mg filmomhulde tabletten;CAPIVASERTIB;160 mg;Filmomhulde tablet;CAPIVASERTIB - 160 mg - Filmomhulde tablet
Iasibon 50 mg filmomhulde tabletten;IBANDRONAAT;50 mg;Filmomhulde tablet;IBANDRONAAT - 50 mg - Filmomhulde tablet
Alendroninezuur betapharm 70 mg één tablet per week, tabletten;ALENDRONAAT;70 mg;Tablet;ALENDRONAAT - 70 mg - Tablet
Pravastatine Na Stada 10 mg, filmomhulde tabletten;PRAVASTATINE;10 mg;Filmomhulde tablet;PRAVASTATINE - 10 mg - Filmomhulde tablet
Truxima 500 mg, concentraat voor oplossing voor infusie;RITUXIMAB;500 mg;Concentraat voor oplossing voor infusie;RITUXIMAB - 500 mg - Concentraat voor oplossing voor infusie
Lenalidomide Krka d.d. Novo mesto 7,5 mg, harde capsules;LENALIDOMIDE;7,5 mg;Capsule;LENALIDOMIDE - 7,5 mg - Capsule
Neupro 6 mg/24 h pleister voor transdermaal gebruik;ROTIGOTINE;6 mg;Pleister voor transdermaal gebruik;ROTIGOTINE - 6 mg - Pleister voor transdermaal gebruik
Natriumthiosulfaat Hope 250 mg/ml, oplossing voor injectie;THIO;250 mg/ml;Oplossing voor injectie;THIO - 250 mg/ml - Oplossing voor injectie
Eporatio 4,000 IU/ 0,5 ml, oplossing voor injectie;EPOETINE THETA;4,000 IE/ 0,5 ml;Oplossing voor injectie;EPOETINE THETA - 4,000 IE/ 0,5 ml - Oplossing voor injectie
Irbesartan comp  HEXAL 150/12,5 mg, filmomhulde tabletten;HYDROCHLOORTHIAZIDE/IRBESARTAN;150/12,5 mg;Filmomhulde tablet;HYDROCHLOORTHIAZIDE/IRBESARTAN - 150/12,5 mg - Filmomhulde tablet
Pregabaline Zentiva 25 mg harde capsules;PREGABALINE;25 mg;Capsule;PREGABALINE - 25 mg - Capsule
Eporatio 5,000 IU/ 0,5 ml, oplossing voor injectie;EPOETINE THETA;5,000 IE/ 0,5 ml;Oplossing voor injectie;EPOETINE THETA - 5,000 IE/ 0,5 ml - Oplossing voor injectie
Zonegran 50 mg, capsules hard;ZONISAMIDE;50 mg;Capsule;ZONISAMIDE - 50 mg - Capsule
Mycamine 50 mg, poeder voor oplossing voor infusie;MICAFUNGINE;50 mg;Poeder voor oplossing voor infusie;MICAFUNGINE - 50 mg - Poeder voor oplossing voor infusie
Axumin 3200 MBq/ml oplossing voor injectie;FLUCICLOVINE [18F];3200 MBq/ml;Oplossing voor injectie;FLUCICLOVINE [18F] - 3200 MBq/ml - Oplossing voor injectie
Farydak 10 mg harde capsules;PANOBINOSTATLACTAAT;10 mg;Capsule;PANOBINOSTATLACTAAT - 10 mg - Capsule
Skyrizi 150 mg, oplossing voor injectie in voorgevulde pen;RISANKIZUMAB;150 mg;Oplossing voor injectie;RISANKIZUMAB - 150 mg - Oplossing voor injectie
Rivaroxaban 1A Pharma 15 mg + 20 mg, filmomhulde tabletten;RIVAROXABAN;15 mg;Filmomhulde tablet;RIVAROXABAN - 15 mg - Filmomhulde tablet
Tagrisso 40 mg, filmomhulde tabletten;OSIMERTINIB;40 mg;Filmomhulde tablet;OSIMERTINIB - 40 mg - Filmomhulde tablet
Cinacalcet DOC 90 mg, filmomhulde tabletten;CINACALCET;90 mg;Filmomhulde tablet;CINACALCET - 90 mg - Filmomhulde tablet
Tivicay 5 mg oplosbare tabletten;DOLUTEGRAVIR;5 mg;Oplosbare tablet;DOLUTEGRAVIR - 5 mg - Oplosbare tablet
Telmisartan/Hydrochloorthiazide Sandoz 80 mg/12,5 mg, omhulde tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;80 mg/12,5 mg;Omhulde tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 80 mg/12,5 mg - Omhulde tablet
Rivaroxaban Denk 20 mg, filmomhulde tabletten;RIVAROXABAN;20 mg;Filmomhulde tablet;RIVAROXABAN - 20 mg - Filmomhulde tablet
Nuwiq 2500 IE poeder en oplosmiddel voor oplossing voor injectie;SIMOCTOCOG ALFA;2500 IE;Poeder en oplosmiddel voor oplossing voor injectie;SIMOCTOCOG ALFA - 2500 IE - Poeder en oplosmiddel voor oplossing voor injectie
Pregabalin Pfizer 200 mg, harde capsules;PREGABALINE;200 mg;Capsule;PREGABALINE - 200 mg - Capsule
Inhixa 30.000 IE (300 mg)/3 ml oplossing voor injectie in injectieflacon voor meerdere doses;ENOXAPARINE;30,000 IE;Oplossing voor injectie;ENOXAPARINE - 30,000 IE - Oplossing voor injectie
Agilus 120 mg poeder voor oplossing voor injectie;DANTROLEEN;120 mg;Poeder voor oplossing voor injectie;DANTROLEEN - 120 mg - Poeder voor oplossing voor injectie
Zoledroninezuur medac 4 mg/100 ml oplossing voor infusie;ZOLEDRONINEZUUR;4 mg/100 ml;Oplossing voor infusie;ZOLEDRONINEZUUR - 4 mg/100 ml - Oplossing voor infusie
Kisplyx 4 mg, harde capsule;LENVATINIB;4 mg;Capsule;LENVATINIB - 4 mg - Capsule
Sifrol 0,7 mg, tabletten;PRAMIPEXOL;0,7 mg;Tablet;PRAMIPEXOL - 0,7 mg - Tablet
Jentadueto 2,5 mg/1000 mg filmomhulde tabletten;LINAGLIPTINE/METFORMINE;2,5 mg/1000 mg;Filmomhulde tablet;LINAGLIPTINE/METFORMINE - 2,5 mg/1000 mg - Filmomhulde tablet
Apixaban Denk 5 mg filmomhulde tabletten;APIXABAN;5 mg;Filmomhulde tablet;APIXABAN - 5 mg - Filmomhulde tablet
Levetiracetam AMETAS 100 mg/ml, Drank;LEVETIRACETAM;100 mg/ml;Drank;LEVETIRACETAM - 100 mg/ml - Drank
Benepali 50 mg oplossing voor injectie in een voorgevulde spuit;ETANERCEPT;50 mg;Oplossing voor injectie;ETANERCEPT - 50 mg - Oplossing voor injectie
Silodosine Sandoz 8 mg, harde capsules;SILODOSINE;8 mg;Capsule;SILODOSINE - 8 mg - Capsule
Esperoct 4.000 IE poeder en oplosmiddel voor oplossing voor injectie;TUROCTOCOG ALFA PEGOL;4.000 IE;Poeder en oplosmiddel voor oplossing voor injectie;TUROCTOCOG ALFA PEGOL - 4.000 IE - Poeder en oplosmiddel voor oplossing voor injectie
Testosteron undecanoate-Depot 1000 mg EIFELFANGO;TESTOSTERON;1000 mg;Oplossing voor injectie;TESTOSTERON - 1000 mg - Oplossing voor injectie
Icatibant Sandoz 30 mg, oplossing voor injectie in een voorgevulde spuit;ICATIBANT;30 mg;Oplossing voor injectie;ICATIBANT - 30 mg - Oplossing voor injectie
Ezetimibe/Atorvastatine Viatris 10 mg/10 mg, filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/10 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/10 mg - Filmomhulde tablet
Rivaroxaban Accord 15 mg filmomhulde tablet;RIVAROXABAN;15 mg;Filmomhulde tablet;RIVAROXABAN - 15 mg - Filmomhulde tablet
Mirapexin 1,05 mg, tabletten met verlengde afgifte;PRAMIPEXOL;1,05 mg;Tablet met verlengde afgifte;PRAMIPEXOL - 1,05 mg - Tablet met verlengde afgifte
Nuwiq 1500 IE poeder en oplosmiddel voor oplossing voor injectie;SIMOCTOCOG ALFA;1500 IE;Poeder en oplosmiddel voor oplossing voor injectie;SIMOCTOCOG ALFA - 1500 IE - Poeder en oplosmiddel voor oplossing voor injectie
Prialt 25 µg/ml, oplossing voor infusie;ZICONOTIDE;25 mcg/ml;Oplossing voor infusie;ZICONOTIDE - 25 mcg/ml - Oplossing voor infusie
JANECLUC 50 mg/1000 mg filmomhulde tabletten;METFORMINE/SITAGLIPTINE;50 mg/1000 mg;Filmomhulde tablet;METFORMINE/SITAGLIPTINE - 50 mg/1000 mg - Filmomhulde tablet
Truvada 200 mg/245 mg, filmomhulde tablet;EMTRICITABINE/TENOFOVIRDISOPROXIL;200 mg/245 mg;Filmomhulde tablet;EMTRICITABINE/TENOFOVIRDISOPROXIL - 200 mg/245 mg - Filmomhulde tablet
Scintimun, 1mg kit voor radiofarmaceutisch preparaat;BESILESOMAB;1mg;Kit voor radiofarmaceutisch preparaat;BESILESOMAB - 1mg - Kit voor radiofarmaceutisch preparaat
SUGANET 50 mg harde capsules;SUNITINIB;50 mg;Capsule;SUNITINIB - 50 mg - Capsule
BIMAGAN 0,3 mg/ml oogdruppels, oplossing;BIMATOPROST;0,3 mg/ml;Oogdruppels;BIMATOPROST - 0,3 mg/ml - Oogdruppels
Temozolomide Lotus 20 mg, capsules, hard;TEMOZOLOMIDE;20 mg;Capsule;TEMOZOLOMIDE - 20 mg - Capsule
Olanzapine Glenmark 2,5 mg, tabletten;OLANZAPINE;2,5 mg;Tablet;OLANZAPINE - 2,5 mg - Tablet
Quetiapine Neuraxpharm 50 mg, filmomhulde tabletten;QUETIAPINE;50 mg;Filmomhulde tablet;QUETIAPINE - 50 mg - Filmomhulde tablet
Xolair 75 mg, oplossing voor injectie;OMALIZUMAB;75 mg;Oplossing voor injectie;OMALIZUMAB - 75 mg - Oplossing voor injectie
Tacrolimus Sandoz 0,5 mg, capsules, hard;TACROLIMUS;0,5 mg;Capsule;TACROLIMUS - 0,5 mg - Capsule
Ristfor 50 mg/850 mg, filmomhulde tabletten;METFORMINE/SITAGLIPTINE;50 mg/850 mg;Filmomhulde tablet;METFORMINE/SITAGLIPTINE - 50 mg/850 mg - Filmomhulde tablet
Clopidogrel TAD 75 mg filmomhulde tabletten;CLOPIDOGREL;75 mg;Filmomhulde tablet;CLOPIDOGREL - 75 mg - Filmomhulde tablet
Bydureon 2 mg poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;EXENATIDE, SYNTHETISCH;2 mg;Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;EXENATIDE, SYNTHETISCH - 2 mg - Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte
Capecitabine Sandoz 150 mg, filmomhulde tabletten;CAPECITABINE;150 mg;Filmomhulde tablet;CAPECITABINE - 150 mg - Filmomhulde tablet
Sapropterin Dipharma 100 mg, oplosbare tablet;SAPROPTERINE;100 mg;Oplosbare tablet;SAPROPTERINE - 100 mg - Oplosbare tablet
Rekovelle 72 microgram, oplossing voor injectie;FOLLITROPINE DELTA;72 mcg;Oplossing voor injectie;FOLLITROPINE DELTA - 72 mcg - Oplossing voor injectie
Kalydeco 75 mg granulaat in sachet;IVACAFTOR;75 mg;Granulaat;IVACAFTOR - 75 mg - Granulaat
Aranesp 60 microgram, oplossing voor injectie in een voorgevulde pen (SureClick);DARBEPOETINE ALFA;60 mcg;Oplossing voor injectie;DARBEPOETINE ALFA - 60 mcg - Oplossing voor injectie
Uzpruvo 90 mg oplossing voor injectie in een voorgevulde spuit;USTEKINUMAB;90 mg;Oplossing voor injectie;USTEKINUMAB - 90 mg - Oplossing voor injectie
Abseamed 30.000 IE/0,75 ml oplossing voor injectie in een voorgevulde spuit;EPOËTINE ALFA;30,000 IE/0,75 ml;Oplossing voor injectie;EPOËTINE ALFA - 30,000 IE/0,75 ml - Oplossing voor injectie
Insuman Comb 30 100 IE/ml suspensie voor injectie in een patroon;INSULINE HUMAAN/INSULINE ISOFAAN, HUMAAN;100 IE/ml;Suspensie voor injectie;INSULINE HUMAAN/INSULINE ISOFAAN, HUMAAN - 100 IE/ml - Suspensie voor injectie
Pregabalin Pfizer 100 mg, harde capsules;PREGABALINE;100 mg;Capsule;PREGABALINE - 100 mg - Capsule
Nevanac 1 mg/ml oogdruppels, suspensie;NEPAFENAC;1 mg/ml;Oogdruppels;NEPAFENAC - 1 mg/ml - Oogdruppels
SomaKit TOC 40 microgram, Kit voor radiofarmaceutisch preparaat;EDOTREOTIDE;40 mcg;Kit voor radiofarmaceutisch preparaat;EDOTREOTIDE - 40 mcg - Kit voor radiofarmaceutisch preparaat
Zalasta 20 mg, tabletten;OLANZAPINE;20 mg;Tablet;OLANZAPINE - 20 mg - Tablet
Rapamune 2 mg omhulde tabletten;SIROLIMUS;2 mg;Filmomhulde tablet;SIROLIMUS - 2 mg - Filmomhulde tablet
GHRYVELIN 60 mg granulaat voor orale suspensie in sachet;MACIMORELINE;60 mg;Granulaat voor orale suspensie;MACIMORELINE - 60 mg - Granulaat voor orale suspensie
Anoro Ellipta 55 microgram/22 microgram inhalatiepoeder, voorverdeeld;UMECLIDINIUM/VILANTEROLTRIFENATAAT;55 mcg/22 mcg;Inhalatiepoeder;UMECLIDINIUM/VILANTEROLTRIFENATAAT - 55 mcg/22 mcg - Inhalatiepoeder
Nivestim 48 ME/ 0,5 ml oplossing voor injectie/infusie;FILGRASTIM;48 miljoen eenheden/ 0,5 ml;Oplossing voor injectie;FILGRASTIM - 48 miljoen eenheden/ 0,5 ml - Oplossing voor injectie
Levetiracetam Actavis 1000 mg, filmomhulde tabletten;LEVETIRACETAM;1000 mg;Filmomhulde tablet;LEVETIRACETAM - 1000 mg - Filmomhulde tablet
Esbriet 267 mg harde capsules;PIRFENIDON;267 mg;Capsule;PIRFENIDON - 267 mg - Capsule
Reyataz 300 mg, harde capsules;ATAZANAVIR/TITAANDIOXIDE (E 171);300 mg;Capsule;ATAZANAVIR/TITAANDIOXIDE (E 171) - 300 mg - Capsule
Vafseo 150 mg filmomhulde tabletten;VADADUSTAT;150 mg;Filmomhulde tablet;VADADUSTAT - 150 mg - Filmomhulde tablet
Insuman Basal 100 IE/ml suspensie voor injectie in een injectieflacon;INSULINE ISOFAAN, HUMAAN;100 IE/ml;Suspensie voor injectie;INSULINE ISOFAAN, HUMAAN - 100 IE/ml - Suspensie voor injectie
Atazanavir Sandoz 300 mg, harde capsules;ATAZANAVIR;300 mg;Capsule;ATAZANAVIR - 300 mg - Capsule
Pregabaline Mylan 50 mg, harde capsules;PREGABALINE;50 mg;Capsule;PREGABALINE - 50 mg - Capsule
Aranesp 500 microgram, oplossing voor injectie in een voorgevulde pen (SureClick);DARBEPOETINE ALFA;500 mcg;Oplossing voor injectie;DARBEPOETINE ALFA - 500 mcg - Oplossing voor injectie
REZZAYO 200 mg poeder voor concentraat voor oplossing voor infusie;REZAFUNGINE;200 mg;Poeder voor concentraat voor oplossing voor infusie;REZAFUNGINE - 200 mg - Poeder voor concentraat voor oplossing voor infusie
Eporatio 3,000 IU / 0,5 ml, oplossing voor injectie;EPOETINE THETA;3,000 IE / 0,5 ml;Oplossing voor injectie;EPOETINE THETA - 3,000 IE / 0,5 ml - Oplossing voor injectie
Alkindi 5 mg granulaat in capsules om te openen;HYDROCORTISON;5 mg;Granulaat;HYDROCORTISON - 5 mg - Granulaat
Filsuvez 100 mg/g, gel;BETULAE CORTEX (LN);100 mg/g;Gel;BETULAE CORTEX (LN) - 100 mg/g - Gel
Aripiprazol Sandoz 15 mg orodispergeerbare tabletten;ARIPIPRAZOL;15 mg;Orodispergeerbare tablet;ARIPIPRAZOL - 15 mg - Orodispergeerbare tablet
AJOVY 225 mg, oplossing voor injectie in voorgevulde spuit;FREMANEZUMAB;225 mg;Oplossing voor injectie;FREMANEZUMAB - 225 mg - Oplossing voor injectie
FRUZAQLA 5 mg, harde capsules;FRUQUINTINIB;5 mg;Capsule;FRUQUINTINIB - 5 mg - Capsule
Sitagliptine/Metformine Hydrochloride Accord 50/850 mg, filmomhulde tabletten;METFORMINE/SITAGLIPTINE;50/850 mg;Filmomhulde tablet;METFORMINE/SITAGLIPTINE - 50/850 mg - Filmomhulde tablet
Exelon 13,3 mg/24 uur, pleister voor transdermaal gebruik;RIVASTIGMINE;13,3 mg/24 uur;Pleister voor transdermaal gebruik;RIVASTIGMINE - 13,3 mg/24 uur - Pleister voor transdermaal gebruik
Darunavir Zentiva 600 mg, filmomhulde tabletten;DARUNAVIR;600 mg;Filmomhulde tablet;DARUNAVIR - 600 mg - Filmomhulde tablet
Voydeya 100 mg filmomhulde tabletten;DANICOPAN;100 mg;Filmomhulde tablet;DANICOPAN - 100 mg - Filmomhulde tablet
Mixtard 30 InnoLet 100 internationale eenheden/ml suspensie voor injectie in voorgevulde pen;INSULINE HUMAAN/INSULINE ISOFAAN, HUMAAN;100 IE/ml;Suspensie voor injectie;INSULINE HUMAAN/INSULINE ISOFAAN, HUMAAN - 100 IE/ml - Suspensie voor injectie
Pregabaline Zentiva 100 mg harde capsules;PREGABALINE;100 mg;Capsule;PREGABALINE - 100 mg - Capsule
Javlor 25 mg/ml, Concentraat voor oplossing voor infusie;VINFLUNINE;25 mg/ml;Concentraat voor oplossing voor infusie;VINFLUNINE - 25 mg/ml - Concentraat voor oplossing voor infusie
Chenodeoxycholic acid Leadiant 250 mg harde capsules;CHENODEOXYCHOLZUUR;250 mg;Capsule;CHENODEOXYCHOLZUUR - 250 mg - Capsule
Jivi 2000 IE poeder en oplosmiddel voor oplossing voor injectie;DAMOCTOCOG ALFA PEGOL;2000 IE;Poeder en oplosmiddel voor oplossing voor injectie;DAMOCTOCOG ALFA PEGOL - 2000 IE - Poeder en oplosmiddel voor oplossing voor injectie
Tivlemaq 30 mg, filmomhulde tabletten;APREMILAST;30 mg;Filmomhulde tablet;APREMILAST - 30 mg - Filmomhulde tablet
Deltyba 50 mg filmomhulde tabletten;DELAMANID;50 mg;Filmomhulde tablet;DELAMANID - 50 mg - Filmomhulde tablet
AQUIPTA 60 mg tabletten;ATOGEPANT;60 mg;Tablet;ATOGEPANT - 60 mg - Tablet
Ayvakyt 25 mg filmomhulde tabletten;AVAPRITINIB;25 mg;Filmomhulde tablet;AVAPRITINIB - 25 mg - Filmomhulde tablet
Benazepril HCl/Hydrochloorthiazide 10/12,5, filmomhulde tabletten 10 mg/12,5 mg;BENAZEPRIL/HYDROCHLOORTHIAZIDE;10 mg/12,5 mg;Filmomhulde tablet;BENAZEPRIL/HYDROCHLOORTHIAZIDE - 10 mg/12,5 mg - Filmomhulde tablet
BISANTIM 0,3 mg/ml + 5 mg/ml oogdruppels, oplossing;BIMATOPROST/TIMOLOL;0,3 mg/ml;Oogdruppels;BIMATOPROST/TIMOLOL - 0,3 mg/ml - Oogdruppels
Ezetimibe/Atorvastatine STADA Arzneimittel AG 10 mg/20 mg filmomhulde tabletten;ATORVASTATINE/EZETIMIB;10 mg/20 mg;Filmomhulde tablet;ATORVASTATINE/EZETIMIB - 10 mg/20 mg - Filmomhulde tablet
Revolade 12,5 mg, filmomhulde tablet;ELTROMBOPAGOLAMINE;12,5 mg;Filmomhulde tablet;ELTROMBOPAGOLAMINE - 12,5 mg - Filmomhulde tablet
