Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct;Kolom1
Spironolacton Aurobindo 100 mg, tabletten;SPIRONOLACTON;100 mg;Filmomhulde tablet;SPIRONOLACTON - 100 mg - Filmomhulde tablet;43
Baclofen Sintetica Intrathecaal 2 mg/ml oplossing voor infusie;BACLOFEN;2 mg/ml;Oplossing voor infusie;BACLOFEN - 2 mg/ml - Oplossing voor infusie;43
Propofol 20 mg/ml MCT/LCT Fresenius, emulsie voor injectie of infusie;PROPOFOL;20 mg/ml;Emulsie voor injectie;PROPOFOL - 20 mg/ml - Emulsie voor injectie;43
Levetiracetam Jubilant 250 mg, filmomhulde tabletten;LEVETIRACETAM;250 mg;Filmomhulde tablet;LEVETIRACETAM - 250 mg - Filmomhulde tablet;43
Valaciclovir 1000 mg Focus, filmomhulde tabletten;VALACICLOVIR;1000 mg;Filmomhulde tablet;VALACICLOVIR - 1000 mg - Filmomhulde tablet;43
Lamotrigine CF 50 mg, dispergeerbare tabletten;LAMOTRIGINE;50 mg;Dispergeerbare tablet;LAMOTRIGINE - 50 mg - Dispergeerbare tablet;43
SILANDYL 50 mg, orodispergeerbare film;SILDENAFIL;50 mg;Orodispergeerbare film;SILDENAFIL - 50 mg - Orodispergeerbare film;43
Uromitexan, oplossing voor injectie 100 mg/ml;MESNA;100 mg/ml;Oplossing voor injectie;MESNA - 100 mg/ml - Oplossing voor injectie;43
Levofloxacine Jubilant 500 mg filmomhulde tabletten;LEVOFLOXACINE;500 mg;Filmomhulde tablet;LEVOFLOXACINE - 500 mg - Filmomhulde tablet;43
Amitriptyline HCl Amarox 100 mg filmomhulde tabletten;AMITRIPTYLINE;100 mg;Filmomhulde tablet;AMITRIPTYLINE - 100 mg - Filmomhulde tablet;43
Icatibant Fresenius 30 mg oplossing voor injectie in een voorgevulde spuit;ICATIBANT;30 mg;Oplossing voor injectie;ICATIBANT - 30 mg - Oplossing voor injectie;43
Levetiracetam Aristo 250 mg, filmomhulde tabletten;LEVETIRACETAM;250 mg;Filmomhulde tablet;LEVETIRACETAM - 250 mg - Filmomhulde tablet;43
Sendolor 20 mg/ml, oplossing voor infusie;MORFINE;20 mg/ml;Oplossing voor infusie;MORFINE - 20 mg/ml - Oplossing voor infusie;43
Levetiracetam AMETAS 250 mg, filmomhulde tabletten;LEVETIRACETAM;250 mg;Filmomhulde tablet;LEVETIRACETAM - 250 mg - Filmomhulde tablet;43
Brimonidine/Timolol Blumont 2 mg/ml + 5 mg/ml oogdruppels, oplossing;BRIMONIDINE/TIMOLOL;2 mg/ml;Oogdruppels;BRIMONIDINE/TIMOLOL - 2 mg/ml - Oogdruppels;43
Oxcarbazepine Jubilant 300 mg, filmomhulde tabletten;OXCARBAZEPINE;300 mg;Filmomhulde tablet;OXCARBAZEPINE - 300 mg - Filmomhulde tablet;43
Maddoflox 500 mg filmomhulde tabletten;LEVOFLOXACINE;500 mg;Filmomhulde tablet;LEVOFLOXACINE - 500 mg - Filmomhulde tablet;43
Levetiracetam Sandoz 750 mg, filmomhulde tabletten;LEVETIRACETAM;750 mg;Filmomhulde tablet;LEVETIRACETAM - 750 mg - Filmomhulde tablet;43
Levofloxacine Sandoz 500 mg, filmomhulde tabletten;LEVOFLOXACINE;500 mg;Filmomhulde tablet;LEVOFLOXACINE - 500 mg - Filmomhulde tablet;43
Levofloxacine Aurobindo 500 mg, filmomhulde tabletten;LEVOFLOXACINE;500 mg;Filmomhulde tablet;LEVOFLOXACINE - 500 mg - Filmomhulde tablet;43
Perindopril/Indapamide STADA 4/1,25 mg, tabletten;INDAPAMIDE/PERINDOPRIL;4/1,25 mg;Tablet;INDAPAMIDE/PERINDOPRIL - 4/1,25 mg - Tablet;43
Prolia 60 mg oplossing voor injectie in een voorgevulde spuit;DENOSUMAB;60 mg;Oplossing voor injectie;DENOSUMAB - 60 mg - Oplossing voor injectie;43
Levetiracetam Hexal 250 mg, filmomhulde tabletten;LEVETIRACETAM;250 mg;Filmomhulde tablet;LEVETIRACETAM - 250 mg - Filmomhulde tablet;43
Levetiracetam Teva 750 mg, filmomhulde tabletten;LEVETIRACETAM;750 mg;Filmomhulde tablet;LEVETIRACETAM - 750 mg - Filmomhulde tablet;43
Linezolid Polpharma 2mg/ml, oplossing voor infusie;LINEZOLID;2mg/ml;Oplossing voor infusie;LINEZOLID - 2mg/ml - Oplossing voor infusie;43
Lissidexanz 60 mg, harde capsules;LISDEXAMFETAMINEDIADIPAAT;60 mg;Capsule;LISDEXAMFETAMINEDIADIPAAT - 60 mg - Capsule;43
Calquence 100 mg, filmomhulde tabletten;ACALABRUTINIB;100 mg;Filmomhulde tablet;ACALABRUTINIB - 100 mg - Filmomhulde tablet;43
Notaxo 20 mg, orodispergeerbare tabletten;EBASTINE;20 mg;Orodispergeerbare tablet;EBASTINE - 20 mg - Orodispergeerbare tablet;43
Crestor 10 mg, filmomhulde tabletten;ROSUVASTATINE;10 mg;Filmomhulde tablet;ROSUVASTATINE - 10 mg - Filmomhulde tablet;42
Cisordinol 10 mg, filmomhulde tabletten;ZUCLOPENTIXOL;10 mg;Filmomhulde tablet;ZUCLOPENTIXOL - 10 mg - Filmomhulde tablet;42
Levocetirizine diHCl 5 mg Focus Care, filmomhulde tabletten;LEVOCETIRIZINE;5 mg;Filmomhulde tablet;LEVOCETIRIZINE - 5 mg - Filmomhulde tablet;42
Sendolor 1 mg/ml, oplossing voor infusie;MORFINE;1 mg/ml;Oplossing voor infusie;MORFINE - 1 mg/ml - Oplossing voor infusie;42
Crestor 10, filmomhulde tabletten 10 mg;ROSUVASTATINE;10 mg;Filmomhulde tablet;ROSUVASTATINE - 10 mg - Filmomhulde tablet;42
Rosuvastatine Krka 10 mg, filmomhulde tabletten;ROSUVASTATINE;10 mg;Filmomhulde tablet;ROSUVASTATINE - 10 mg - Filmomhulde tablet;42
Sitagliptine Heumann 100 mg filmomhulde tabletten;SITAGLIPTINE;100 mg;Filmomhulde tablet;SITAGLIPTINE - 100 mg - Filmomhulde tablet;42
Coloxet 500 mg filmomhulde tabletten;CAPECITABINE;500 mg;Filmomhulde tablet;CAPECITABINE - 500 mg - Filmomhulde tablet;42
Atorvastatine Accord 80 mg filmomhulde tabletten;ATORVASTATINE;80 mg;Filmomhulde tablet;ATORVASTATINE - 80 mg - Filmomhulde tablet;42
Atorvastatine Aurobindo 80 mg, filmomhulde tabletten;ATORVASTATINE;80 mg;Filmomhulde tablet;ATORVASTATINE - 80 mg - Filmomhulde tablet;42
Atorvastatine Xiromed 80 mg filmomhulde tabletten;ATORVASTATINE;80 mg;Filmomhulde tablet;ATORVASTATINE - 80 mg - Filmomhulde tablet;42
Rosuvastatine MSN 10 mg filmomhulde tabletten;ROSUVASTATINE;10 mg;Filmomhulde tablet;ROSUVASTATINE - 10 mg - Filmomhulde tablet;42
Orvasta 40 mg, filmomhulde tabletten;ATORVASTATINE;40 mg;Filmomhulde tablet;ATORVASTATINE - 40 mg - Filmomhulde tablet;42
Crestor 20, filmomhulde tabletten 20 mg;ROSUVASTATINE;20 mg;Filmomhulde tablet;ROSUVASTATINE - 20 mg - Filmomhulde tablet;42
Fexofenadine HCl Teva 180 mg, filmomhulde tabletten;FEXOFENADINE;180 mg;Filmomhulde tablet;FEXOFENADINE - 180 mg - Filmomhulde tablet;42
Rosuvastatine Amarox 40 mg filmomhulde tabletten;ROSUVASTATINE;40 mg;Filmomhulde tablet;ROSUVASTATINE - 40 mg - Filmomhulde tablet;42
Propofol BioQ Pharma 10 mg/ml emulsie voor injectie of infusie;PROPOFOL;10 mg/ml;Emulsie voor infusie;PROPOFOL - 10 mg/ml - Emulsie voor infusie;42
Nortrilen 10 mg, filmomhulde tabletten;NORTRIPTYLINE;10 mg;Filmomhulde tablet;NORTRIPTYLINE - 10 mg - Filmomhulde tablet;42
Fexofenadine HCL Amarox 180 mg, filmomhulde tabletten;FEXOFENADINE;180 mg;Filmomhulde tablet;FEXOFENADINE - 180 mg - Filmomhulde tablet;42
Fenoxymethylpenicilline CF 250 mg, capsules;FENOXYMETHYLPENICILLINE;250 mg;Capsule;FENOXYMETHYLPENICILLINE - 250 mg - Capsule;42
Atorvastatine Vivanta 10 mg, filmomhulde tabletten;ATORVASTATINE;10 mg;Filmomhulde tablet;ATORVASTATINE - 10 mg - Filmomhulde tablet;42
Atorvastatine 20 mg Liconsa, filmomhulde tabletten;ATORVASTATINE;20 mg;Filmomhulde tablet;ATORVASTATINE - 20 mg - Filmomhulde tablet;42
Atorvastatine CF 80 mg, filmomhulde tabletten;ATORVASTATINE;80 mg;Filmomhulde tablet;ATORVASTATINE - 80 mg - Filmomhulde tablet;42
Teriflunomide Sandoz 14 mg, filmomhulde tabletten;TERIFLUNOMIDE;14 mg;Filmomhulde tablet;TERIFLUNOMIDE - 14 mg - Filmomhulde tablet;42
Sitagliptine Xiromed 100 mg filmomhulde tabletten;SITAGLIPTINE;100 mg;Filmomhulde tablet;SITAGLIPTINE - 100 mg - Filmomhulde tablet;42
Fluoxetine CF 20, dispergeerbare tabletten 20 mg;FLUOXETINE;20 mg;Dispergeerbare tablet;FLUOXETINE - 20 mg - Dispergeerbare tablet;42
Rosuvastatine Macleods 40 mg, filmomhulde tabletten;ROSUVASTATINE;40 mg;Filmomhulde tablet;ROSUVASTATINE - 40 mg - Filmomhulde tablet;42
Carbidopa/Levodopa Fairmed 10 mg/100 mg tabletten;CARBIDOPA/LEVODOPA;10 mg/100 mg;Tablet;CARBIDOPA/LEVODOPA - 10 mg/100 mg - Tablet;42
Atorvastatine Xiromed 40 mg filmomhulde tabletten;ATORVASTATINE;40 mg;Filmomhulde tablet;ATORVASTATINE - 40 mg - Filmomhulde tablet;42
Levocetirizine Krka 5 mg filmomhulde tabletten;LEVOCETIRIZINE;5 mg;Filmomhulde tablet;LEVOCETIRIZINE - 5 mg - Filmomhulde tablet;42
Atorvastatine Xiromed 10 mg filmomhulde tabletten;ATORVASTATINE;10 mg;Filmomhulde tablet;ATORVASTATINE - 10 mg - Filmomhulde tablet;42
Teriflox 14 mg, filmomhulde tabletten;TERIFLUNOMIDE;14 mg;Filmomhulde tablet;TERIFLUNOMIDE - 14 mg - Filmomhulde tablet;42
Sitagliptine Grindeks 100 mg filmomhulde tabletten;SITAGLIPTINE;100 mg;Filmomhulde tablet;SITAGLIPTINE - 100 mg - Filmomhulde tablet;42
Levocetirizine diHCl 5 PCH, filmomhulde tabletten 5 mg;LEVOCETIRIZINE;5 mg;Filmomhulde tablet;LEVOCETIRIZINE - 5 mg - Filmomhulde tablet;42
Azitromycine Aurobindo 500 mg, filmomhulde tabletten;AZITROMYCINE;500 mg;Filmomhulde tablet;AZITROMYCINE - 500 mg - Filmomhulde tablet;42
Carbidopa/Levodopa Fair-Med 25 mg/100 mg tabletten;CARBIDOPA/LEVODOPA;25 mg/100 mg;Tablet;CARBIDOPA/LEVODOPA - 25 mg/100 mg - Tablet;42
Nortriptyline Double-e Pharma 10 mg, filmomhulde tabletten;NORTRIPTYLINE;10 mg;Filmomhulde tablet;NORTRIPTYLINE - 10 mg - Filmomhulde tablet;42
Amitriptyline HCl Amarox 75 mg filmomhulde tabletten;AMITRIPTYLINE;75 mg;Filmomhulde tablet;AMITRIPTYLINE - 75 mg - Filmomhulde tablet;42
Biltricide 600 mg,filmomhulde tabletten;PRAZIQUANTEL;600 mg;Filmomhulde tablet;PRAZIQUANTEL - 600 mg - Filmomhulde tablet;42
Amitriptyline HCl Strides 25 mg filmomhulde tabletten;AMITRIPTYLINE;25 mg;Filmomhulde tablet;AMITRIPTYLINE - 25 mg - Filmomhulde tablet;42
Rosuvastatine Vivanta 20 mg filmomhulde tabletten;ROSUVASTATINE;20 mg;Filmomhulde tablet;ROSUVASTATINE - 20 mg - Filmomhulde tablet;42
Atorvastatine Mylan 80 mg, filmomhulde tabletten;ATORVASTATINE;80 mg;Filmomhulde tablet;ATORVASTATINE - 80 mg - Filmomhulde tablet;42
Zolmitriptan Glenmark 2,5 mg filmomhulde tabletten;ZOLMITRIPTAN;2,5 mg;Filmomhulde tablet;ZOLMITRIPTAN - 2,5 mg - Filmomhulde tablet;42
Rosuvastatine Torrent 40 mg, filmomhulde tabletten;ROSUVASTATINE;40 mg;Filmomhulde tablet;ROSUVASTATINE - 40 mg - Filmomhulde tablet;42
Pyrukynd 5 mg, filmomhulde tabletten;MITAPIVAT 0,5-;5 mg;Filmomhulde tablet;MITAPIVAT 0,5- - 5 mg - Filmomhulde tablet;42
Aimovig 70 mg oplossing voor injectie in voorgevulde pen;ERENUMAB;70 mg;Oplossing voor injectie;ERENUMAB - 70 mg - Oplossing voor injectie;42
Rosuvastatine Torrent 10 mg, filmomhulde tabletten;ROSUVASTATINE;10 mg;Filmomhulde tablet;ROSUVASTATINE - 10 mg - Filmomhulde tablet;42
Saxagliptine Sandoz 2,5 mg, filmomhulde tabletten;SAXAGLIPTINE;2,5 mg;Filmomhulde tablet;SAXAGLIPTINE - 2,5 mg - Filmomhulde tablet;42
RXULTI 0,5 mg filmomhulde tabletten;BREXPIPRAZOL;0,5 mg;Filmomhulde tablet;BREXPIPRAZOL - 0,5 mg - Filmomhulde tablet;42
Sitagliptine Sandoz 100 mg, filmomhulde tabletten;SITAGLIPTINE;100 mg;Filmomhulde tablet;SITAGLIPTINE - 100 mg - Filmomhulde tablet;42
Ecansya 500 mg, filmomhulde tabletten;CAPECITABINE;500 mg;Filmomhulde tablet;CAPECITABINE - 500 mg - Filmomhulde tablet;42
Simlerid 100 mg, filmomhulde tabletten;SITAGLIPTINE;100 mg;Filmomhulde tablet;SITAGLIPTINE - 100 mg - Filmomhulde tablet;42
Duphaston 10, filmomhulde tabletten 10 mg;DYDROGESTERON;10 mg;Filmomhulde tablet;DYDROGESTERON - 10 mg - Filmomhulde tablet;42
Lamictal Dispers 5 mg, kauwtabletten/dispergeerbare tabletten;LAMOTRIGINE;5 mg;Dispergeerbare tablet;LAMOTRIGINE - 5 mg - Dispergeerbare tablet;42
Oxis 6 Turbuhaler, 6 microgram/dosis, inhalatiepoeder;FORMOTEROL;6 mcg/dosis;Inhalatiepoeder;FORMOTEROL - 6 mcg/dosis - Inhalatiepoeder;42
Liposic ooggel 2 mg/g;CARBOMEER (TYPE UNKNOWN);2 mg/g;Ooggel;CARBOMEER (TYPE UNKNOWN) - 2 mg/g - Ooggel;42
Biltricide 600 mg, filmomhulde tabletten;PRAZIQUANTEL;600 mg;Filmomhulde tablet;PRAZIQUANTEL - 600 mg - Filmomhulde tablet;42
Azitromycine Jubilant 250 mg filmomhulde tabletten;AZITROMYCINE;250 mg;Filmomhulde tablet;AZITROMYCINE - 250 mg - Filmomhulde tablet;42
Atorvastatine SUN 40 mg, filmomhulde tabletten;ATORVASTATINE;40 mg;Filmomhulde tablet;ATORVASTATINE - 40 mg - Filmomhulde tablet;42
Sitagliptine Teva 100 mg, filmomhulde tabletten;SITAGLIPTINE;100 mg;Filmomhulde tablet;SITAGLIPTINE - 100 mg - Filmomhulde tablet;42
Atorvastatine Viatris 80 mg, filmomhulde tabletten;ATORVASTATINE;80 mg;Filmomhulde tablet;ATORVASTATINE - 80 mg - Filmomhulde tablet;42
Nortriptyline Mylan 50 mg, filmomhulde tabletten;NORTRIPTYLINE;50 mg;Filmomhulde tablet;NORTRIPTYLINE - 50 mg - Filmomhulde tablet;42
Lamotrigine CF 5 mg, dispergeerbare tabletten;LAMOTRIGINE;5 mg;Dispergeerbare tablet;LAMOTRIGINE - 5 mg - Dispergeerbare tablet;42
Fromirex, filmomhulde tabletten 2,5 mg;FROVATRIPTAN;2,5 mg;Filmomhulde tablet;FROVATRIPTAN - 2,5 mg - Filmomhulde tablet;42
Rosuvastatine Macleods 20 mg, filmomhulde tabletten;ROSUVASTATINE;20 mg;Filmomhulde tablet;ROSUVASTATINE - 20 mg - Filmomhulde tablet;42
Rosuvastatine Biocon 40 mg filmomhulde tabletten;ROSUVASTATINE;40 mg;Filmomhulde tablet;ROSUVASTATINE - 40 mg - Filmomhulde tablet;42
Azitromycine Aurobindo 250 mg, filmomhulde tabletten;AZITROMYCINE;250 mg;Filmomhulde tablet;AZITROMYCINE - 250 mg - Filmomhulde tablet;42
Lerdip 10 mg, filmomhulde tabletten;LERCANIDIPINE;10 mg;Filmomhulde tablet;LERCANIDIPINE - 10 mg - Filmomhulde tablet;42
Omnipaque 300 mg I/ml, injectievloeistof;IOHEXOL;300 mg;Oplossing voor injectie;IOHEXOL - 300 mg - Oplossing voor injectie;42
Valaciclovir Mylan 500 mg, filmomhulde tabletten;VALACICLOVIR;500 mg;Filmomhulde tablet;VALACICLOVIR - 500 mg - Filmomhulde tablet;42
Amitriptyline HCl Amarox 25 mg filmomhulde tabletten;AMITRIPTYLINE;25 mg;Filmomhulde tablet;AMITRIPTYLINE - 25 mg - Filmomhulde tablet;42
Levocetirizine diHCL Sandoz 5 mg, filmomhulde tabletten;LEVOCETIRIZINE;5 mg;Filmomhulde tablet;LEVOCETIRIZINE - 5 mg - Filmomhulde tablet;42
Formoterol Orion 12 Easyhaler, inhalatiepoeder, 12 microgram/dosis;FORMOTEROL;12 eenheden;Inhalatiepoeder;FORMOTEROL - 12 eenheden - Inhalatiepoeder;42
Atorvastatine Sandoz 10 mg, filmomhulde tabletten;ATORVASTATINE;10 mg;Filmomhulde tablet;ATORVASTATINE - 10 mg - Filmomhulde tablet;42
Atorvastatine Accord 20 mg filmomhulde tabletten;ATORVASTATINE;20 mg;Filmomhulde tablet;ATORVASTATINE - 20 mg - Filmomhulde tablet;42
Lercanidipine HCl Sandoz 20 mg, filmomhulde tabletten;LERCANIDIPINE;20 mg;Filmomhulde tablet;LERCANIDIPINE - 20 mg - Filmomhulde tablet;42
Zolmitriptan Jubilant 2,5 mg filmomhulde tablet;ZOLMITRIPTAN;2,5 mg;Filmomhulde tablet;ZOLMITRIPTAN - 2,5 mg - Filmomhulde tablet;42
Sitagliptine Aurobindo 100 mg, filmomhulde tabletten;SITAGLIPTINE;100 mg;Filmomhulde tablet;SITAGLIPTINE - 100 mg - Filmomhulde tablet;42
Rosuvastatine Aurobindo 40 mg, filmomhulde tabletten;ROSUVASTATINE;40 mg;Filmomhulde tablet;ROSUVASTATINE - 40 mg - Filmomhulde tablet;42
Atorvastatine Pharmathen 10 mg filmomhulde tabletten;ATORVASTATINE;10 mg;Filmomhulde tablet;ATORVASTATINE - 10 mg - Filmomhulde tablet;42
Atorvastatine Aurobindo 10 mg, filmomhulde tabletten;ATORVASTATINE;10 mg;Filmomhulde tablet;ATORVASTATINE - 10 mg - Filmomhulde tablet;42
Rosuvastatine Grünenthal 10, filmomhulde tabletten 10 mg;ROSUVASTATINE;10 mg;Filmomhulde tablet;ROSUVASTATINE - 10 mg - Filmomhulde tablet;42
Azitromycine Jubilant 500 mg filmomhulde tabletten;AZITROMYCINE;500 mg;Filmomhulde tablet;AZITROMYCINE - 500 mg - Filmomhulde tablet;42
Perindopril tert-butylamine/Indapamide Glenmark 4/1,25mg, tabletten;INDAPAMIDE/PERINDOPRIL;4/1,25mg;Tablet;INDAPAMIDE/PERINDOPRIL - 4/1,25mg - Tablet;42
Rosuvastatine Aristo 10 mg, filmomhulde tabletten;ROSUVASTATINE;10 mg;Filmomhulde tablet;ROSUVASTATINE - 10 mg - Filmomhulde tablet;42
Levocetirizine dihydrochloride Ipca, 5 mg filmomhulde tabletten;LEVOCETIRIZINE;5 mg;Filmomhulde tablet;LEVOCETIRIZINE - 5 mg - Filmomhulde tablet;42
Orvasta 20 mg, filmomhulde tabletten;ATORVASTATINE;20 mg;Filmomhulde tablet;ATORVASTATINE - 20 mg - Filmomhulde tablet;42
Lercanidipine HCl Double-e Pharma 10 mg, filmomhulde tabletten;LERCANIDIPINE;10 mg;Filmomhulde tablet;LERCANIDIPINE - 10 mg - Filmomhulde tablet;42
Lipitor 10, filmomhulde tabletten 10 mg;ATORVASTATINE;10 mg;Filmomhulde tablet;ATORVASTATINE - 10 mg - Filmomhulde tablet;42
Atorvastatine Aristo 10 mg, filmomhulde tabletten;ATORVASTATINE;10 mg;Filmomhulde tablet;ATORVASTATINE - 10 mg - Filmomhulde tablet;42
Crysalis 50 microgram/g + 0,5 mg/g, gel;BETAMETHASON/CALCIPOTRIOL;50 mcg/g;Gel;BETAMETHASON/CALCIPOTRIOL - 50 mcg/g - Gel;42
Rovast 40 mg, filmomhulde tabletten;ROSUVASTATINE;40 mg;Filmomhulde tablet;ROSUVASTATINE - 40 mg - Filmomhulde tablet;42
Lamictal Dispers 2 mg, kauwtabletten/dispergeerbare tabletten;LAMOTRIGINE;2 mg;Dispergeerbare tablet;LAMOTRIGINE - 2 mg - Dispergeerbare tablet;42
Teriflunomide CF 14 mg, filmomhulde tabletten;TERIFLUNOMIDE;14 mg;Filmomhulde tablet;TERIFLUNOMIDE - 14 mg - Filmomhulde tablet;42
Ecansya 300 mg, filmomhulde tabletten;CAPECITABINE;300 mg;Filmomhulde tablet;CAPECITABINE - 300 mg - Filmomhulde tablet;42
Capecitabine medac 150 mg filmomhulde tablet;CAPECITABINE;150 mg;Filmomhulde tablet;CAPECITABINE - 150 mg - Filmomhulde tablet;42
Xeloda 150 mg filmomhulde tabletten;CAPECITABINE;150 mg;Filmomhulde tablet;CAPECITABINE - 150 mg - Filmomhulde tablet;42
Teriflunomide Mylan 14 mg, filmomhulde tabletten;TERIFLUNOMIDE;14 mg;Filmomhulde tablet;TERIFLUNOMIDE - 14 mg - Filmomhulde tablet;42
Vipidia 12,5 mg filmomhulde tabletten;ALOGLIPTINE;12,5 mg;Filmomhulde tablet;ALOGLIPTINE - 12,5 mg - Filmomhulde tablet;42
Vipidia 6,25 mg filmomhulde tabletten;ALOGLIPTINE;6,25 mg;Filmomhulde tablet;ALOGLIPTINE - 6,25 mg - Filmomhulde tablet;42
Rosuvastatine Torrent 20 mg, filmomhulde tabletten;ROSUVASTATINE;20 mg;Filmomhulde tablet;ROSUVASTATINE - 20 mg - Filmomhulde tablet;42
Atorvastatine STADA 10 mg, filmomhulde tabletten;ATORVASTATINE;10 mg;Filmomhulde tablet;ATORVASTATINE - 10 mg - Filmomhulde tablet;42
Cisordinol® 25 mg filmomhulde tabletten;ZUCLOPENTIXOL;25 mg;Filmomhulde tablet;ZUCLOPENTIXOL - 25 mg - Filmomhulde tablet;42
Cisordinol 25 mg, filmomhulde tabletten;ZUCLOPENTIXOL;25 mg;Filmomhulde tablet;ZUCLOPENTIXOL - 25 mg - Filmomhulde tablet;42
Atorvastatine Teva 40 mg, filmomhulde tabletten;ATORVASTATINE;40 mg;Filmomhulde tablet;ATORVASTATINE - 40 mg - Filmomhulde tablet;42
Provisacor 20, filmomhulde tabletten 20 mg;ROSUVASTATINE;20 mg;Filmomhulde tablet;ROSUVASTATINE - 20 mg - Filmomhulde tablet;42
Atorvastatine Aristo 20 mg, filmomhulde tabletten;ATORVASTATINE;20 mg;Filmomhulde tablet;ATORVASTATINE - 20 mg - Filmomhulde tablet;42
Bicalutamide Aurobindo 150 mg, filmomhulde tabletten;BICALUTAMIDE;150 mg;Filmomhulde tablet;BICALUTAMIDE - 150 mg - Filmomhulde tablet;42
Nortriptyline Glenmark 50 mg filmomhulde tabletten;NORTRIPTYLINE;50 mg;Filmomhulde tablet;NORTRIPTYLINE - 50 mg - Filmomhulde tablet;42
Nortriptyline Mylan 10 mg, filmomhulde tabletten;NORTRIPTYLINE;10 mg;Filmomhulde tablet;NORTRIPTYLINE - 10 mg - Filmomhulde tablet;42
Atorvastatine Aurobindo 40 mg, filmomhulde tabletten;ATORVASTATINE;40 mg;Filmomhulde tablet;ATORVASTATINE - 40 mg - Filmomhulde tablet;42
Atorvastatine Aristo 60 mg, filmomhulde tabletten;ATORVASTATINE;60 mg;Filmomhulde tablet;ATORVASTATINE - 60 mg - Filmomhulde tablet;42
Nortriptyline Glenmark 10 mg filmomhulde tabletten;NORTRIPTYLINE;10 mg;Filmomhulde tablet;NORTRIPTYLINE - 10 mg - Filmomhulde tablet;42
Rosuvastatine Amarox 10 mg filmomhulde tabletten;ROSUVASTATINE;10 mg;Filmomhulde tablet;ROSUVASTATINE - 10 mg - Filmomhulde tablet;42
Amitriptyline HCl Teva 25 mg filmomhulde tabletten;AMITRIPTYLINE;25 mg;Filmomhulde tablet;AMITRIPTYLINE - 25 mg - Filmomhulde tablet;42
Prozac 20 mg dispergeerbare tabletten, dispergeerbare tabletten;FLUOXETINE;20 mg;Dispergeerbare tablet;FLUOXETINE - 20 mg - Dispergeerbare tablet;42
Rovast 20 mg, filmomhulde tabletten;ROSUVASTATINE;20 mg;Filmomhulde tablet;ROSUVASTATINE - 20 mg - Filmomhulde tablet;42
Rosuvastatine Glenmark 20 mg filmomhulde tabletten;ROSUVASTATINE;20 mg;Filmomhulde tablet;ROSUVASTATINE - 20 mg - Filmomhulde tablet;42
Atorvastatine Vivanta 20 mg, filmomhulde tabletten;ATORVASTATINE;20 mg;Filmomhulde tablet;ATORVASTATINE - 20 mg - Filmomhulde tablet;42
Lamotrigine Aurobindo 5 mg, dispergeerbare tabletten;LAMOTRIGINE;5 mg;Dispergeerbare tablet;LAMOTRIGINE - 5 mg - Dispergeerbare tablet;42
Atorvastatine Centrient 80 mg, filmomhulde tabletten;ATORVASTATINE;80 mg;Filmomhulde tablet;ATORVASTATINE - 80 mg - Filmomhulde tablet;42
Teriflunomide Amarox 14 mg filmomhulde tabletten;TERIFLUNOMIDE;14 mg;Filmomhulde tablet;TERIFLUNOMIDE - 14 mg - Filmomhulde tablet;42
Sitagliptine Reddy 100 mg filmomhulde tabletten;SITAGLIPTINE;100 mg;Filmomhulde tablet;SITAGLIPTINE - 100 mg - Filmomhulde tablet;42
Atorvastatine Liconsa 60 mg filmomhulde tabletten;ATORVASTATINE;60 mg;Filmomhulde tablet;ATORVASTATINE - 60 mg - Filmomhulde tablet;42
Rosuvastatine Glenmark 40 mg filmomhulde tabletten;ROSUVASTATINE;40 mg;Filmomhulde tablet;ROSUVASTATINE - 40 mg - Filmomhulde tablet;42
Rosuvastatine Vivanta 10 mg filmomhulde tabletten;ROSUVASTATINE;10 mg;Filmomhulde tablet;ROSUVASTATINE - 10 mg - Filmomhulde tablet;42
Amitriptyline Expharma 10 mg, filmomhulde tabletten;AMITRIPTYLINE;10 mg;Filmomhulde tablet;AMITRIPTYLINE - 10 mg - Filmomhulde tablet;42
Biluron 150 mg, filmomhulde tabletten;BICALUTAMIDE;150 mg;Filmomhulde tablet;BICALUTAMIDE - 150 mg - Filmomhulde tablet;42
Azitromycine Sandoz 500 mg, filmomhulde tabletten;AZITROMYCINE;500 mg;Filmomhulde tablet;AZITROMYCINE - 500 mg - Filmomhulde tablet;42
Amitriptyline BB 50 mg filmomhulde tabletten;AMITRIPTYLINE;50 mg;Filmomhulde tablet;AMITRIPTYLINE - 50 mg - Filmomhulde tablet;42
Atorvastatine CF 30 mg, filmomhulde tabletten;ATORVASTATINE;30 mg;Filmomhulde tablet;ATORVASTATINE - 30 mg - Filmomhulde tablet;42
Omnipaque 140 mg I/ml, injectievloeistof;IOHEXOL;140 mg;Oplossing voor injectie;IOHEXOL - 140 mg - Oplossing voor injectie;42
Spironolacton Aurobindo 25 mg, tabletten;SPIRONOLACTON;25 mg;Filmomhulde tablet;SPIRONOLACTON - 25 mg - Filmomhulde tablet;42
Hydrocortison Teva 10 mg, filmomhulde tabletten;HYDROCORTISON;10 mg;Filmomhulde tablet;HYDROCORTISON - 10 mg - Filmomhulde tablet;42
Omnipaque 240 mg I/ml, injectievloeistof;IOHEXOL;240 mg;Oplossing voor injectie;IOHEXOL - 240 mg - Oplossing voor injectie;42
