PRESCRIBING_PRODUCT;AFLEVERSTATUS
CARVEDILOL - 12,5 mg - Tablet;Uitsluitend recept
TERIPARATIDE HYDRAAT - 20 microgram - Oplossing voor injectie;Uitsluitend recept
ZUURSTOF, MEDICINAAL (E 948) - 100% - Inhalatiegas;Uitsluitend recept
ICATIBANT - 30 mg - Oplossing voor injectie;Uitsluitend recept
DESMOPRESSINE - 0,1 mg/ml - Neusspray;Uitsluitend recept
INDAPAMIDE/PERINDOPRIL - 2/0,625mg - Tablet;Uitsluitend recept
LEVOTHYROXINE - 100 microgram - Capsule;Uitsluitend recept
EBASTINE - 10 mg - Lyofilisaat voor oraal gebruik;Uitsluitend recept
CHOLECALCIFEROL - 10.000 IE - Capsule;Uitsluitend recept
MEDROXYPROGESTERON - 500 mg/3,3 ml - Suspensie voor injectie;Uitsluitend recept
SUFENTANIL - 50 microgram/ml - Oplossing voor injectie;Uitsluitend recept
HYDROCHLOORTHIAZIDE/LOSARTAN - 50/12,5 mg - Filmomhulde tablet;Uitsluitend recept
RAMIPRIL - 2,5 mg - Tablet;Uitsluitend recept
CLOZAPINE - 50 mg - Orodispergeerbare tablet;Uitsluitend recept
IMMUNOCYANINE - 10 mg - Poeder voor blaasspoeling;Uitsluitend recept
CITALOPRAM - 40 mg - Filmomhulde tablet;Uitsluitend recept
MODAFINIL - 100 mg - Tablet;Uitsluitend recept
FLUMAZENIL - 0,5 mg/5 ml - Oplossing voor injectie;Uitsluitend recept
METOPROLOL - 50 mg - Filmomhulde tablet;Uitsluitend recept
IMMUNOGLOBULINE G, HUMAAN - 10% - Oplossing voor infusie;Uitsluitend recept
MITOXANTRON - 2 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
PEMETREXED - 6,5 mg/ml - Oplossing voor infusie;Uitsluitend recept
ESOMEPRAZOL - 40 mg - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
PIPERACILLINE/TAZOBACTAM - 2 g/0,25 g - Poeder voor oplossing voor infusie;Uitsluitend recept
ALFUZOSINE - 2,5 mg - Filmomhulde tablet;Uitsluitend recept
HYDROCORTISON - 1 mg - Filmomhulde tablet;Uitsluitend recept
NEBIVOLOL - 2,5 mg - Tablet;Uitsluitend recept
ISOSORBIDEMONO - 30 mg - Tablet met gereguleerde afgifte;Uitsluitend recept
DESOGESTREL/ETHINYLESTRADIOL - 0,15 mg/0,02 mg - Filmomhulde tablet;Uitsluitend recept
GLUCOSE/ - 5% - Oplossing voor infusie;Uitsluitend recept
SULCONAZOL - 1 l - Oplossing voor cutaan gebruik;Uitsluitend recept
RIVASTIGMINE - 13,3 mg/24 uur - Pleister voor transdermaal gebruik;Uitsluitend recept
HYDROCHLOORTHIAZIDE/VALSARTAN - 160 mg/25 mg - Filmomhulde tablet;Uitsluitend recept
BICALUTAMIDE - 150 mg - Filmomhulde tablet;Uitsluitend recept
LEVOTHYROXINE - 50 microgram - Tablet;Uitsluitend recept
FAMCICLOVIR - 125 mg - Filmomhulde tablet;Uitsluitend recept
BUPRENORFINE - 2 mg - Tablet voor sublinguaal gebruik;Uitsluitend recept
CODEINE - 20 mg - Tablet;Uitsluitend recept
DEXCHLOORFENIRAMINE - 2 mg - Tablet;Uitsluitend recept
LIDOCAÏNE/PRILOCAÏNE - 25 mg/g - Gel voor peri-odontaal gebruik;Uitsluitend recept
FAMOTIDINE - 40 mg - Filmomhulde tablet;Uitsluitend recept
URSODEOXYCHOLZUUR - 500 mg - Tablet;Uitsluitend recept
FLUDROCORTISON - 0,1 mg/ml - Drank;Uitsluitend recept
DROSPIRENON/ETHINYLESTRADIOL - 0,03/3 mg - Filmomhulde tablet;Uitsluitend recept
CODEINE - 15 mg - Tablet;Uitsluitend recept
BROMAZEPAM - 6 mg - Tablet;Uitsluitend recept
LACIDIPINE - 4 mg - Filmomhulde tablet;Uitsluitend recept
TEMOZOLOMIDE - 180mg - Capsule;Uitsluitend recept
BUPRENORFINE - 10 microgram/uur - Pleister voor transdermaal gebruik;Uitsluitend recept
FLUOXETINE - 20 mg - Capsule;Uitsluitend recept
TERAZOSINE - 5 mg - Tablet;Uitsluitend recept
TRIMETHOPRIM - 100 mg - Tablet;Uitsluitend recept
TESTOSTERON - 20 mg/g - Gel voor transdermaal gebruik;Uitsluitend recept
NIFEDIPINE - 60 mg - Tablet met verlengde afgifte;Uitsluitend recept
CIMETIDINE - 400 mg - Filmomhulde tablet;Uitsluitend recept
GLUCOSE - 50% - Oplossing voor infusie;Uitsluitend recept
OLSALAZINE - 500 mg - Tablet;Uitsluitend recept
CLOMIPRAMINE - 75 mg - Tablet met gereguleerde afgifte;Uitsluitend recept
NANDROLON - 50 mg/ml - Oplossing voor injectie;Uitsluitend recept
NYSTATINE - 100.000 IE/ml - Suspensie voor oraal gebruik;Uitsluitend recept
ATOMOXETINE - 80 mg - Capsule;Uitsluitend recept
ZONISAMIDE - 25 mg - Capsule;Uitsluitend recept
WATERIG EXTRACT VAN FELIS CATUS - 100.000 SQ-E/ml - Suspensie voor injectie;Uitsluitend recept
PARACETAMOL/TRAMADOL - 37,5mg/325mg - Bruistablet;Uitsluitend recept
TAMOXIFEN - 20 mg - Filmomhulde tablet;Uitsluitend recept
DILTIAZEM - 200 mg - Capsule met gereguleerde afgifte;Uitsluitend recept
POSACONAZOL - 300 mg - Concentraat voor oplossing voor infusie;Uitsluitend recept
LITHIUM - 200 mg - Tablet;Uitsluitend recept
DICLOFENAC - 100 mg - Zetpil;Uitsluitend recept
SELENIET/JODIDE (I-)/JODIDE/KOPER (Cu2+)/KOPERDIGLUCONAAT/MANGAAN (Mn2+)/MANGAANDIGLUCONAAT/SELENIUM (Se4+)/ZINK (Zn2+)/ZINKDIGLUCONAAT -  - Concentraat voor oplossing voor infusie;Uitsluitend recept
GLUCOSE/ - 2,5% - Oplossing voor infusie;Uitsluitend recept
DOPAMINE - 40 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
AMLODIPINE/OLMESARTANMEDOXOMIL - 40 mg/5 mg - Filmomhulde tablet;Uitsluitend recept
HYDROCORTISON - 100 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
ALANINE, L-/, (L-)/(E 509)/GLYCERO, GEHYDRATEERD/FENYLALANINE, (L-)/GLUCOSE/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/(E 508)/LEUCINE, (L-) (E 641)/LYSINE, L-/(E 518)/METHIONINE, (L-)/(E 262)/OLIJFOLIE, GEZUIVERD/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/TAURINE/THREONINE, (L-)/TRIGLYCERIDEN MIDDELLANGE KETEN/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/VISOLIE, RIJK AAN OMEGA-3-ZUREN/ZINK -  - Emulsie voor infusie;Uitsluitend recept
ATORVASTATINE - 60 mg - Filmomhulde tablet;Uitsluitend recept
BUDESONIDE - 100 microgram/dosis - Inhalatiepoeder;Uitsluitend recept
METRONIDAZOL - 5 mg/ml - Oplossing voor infusie;Uitsluitend recept
PAROXETINE - 10 mg - Tablet;Uitsluitend recept
FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN - 500 IE - Poeder en oplosmiddel voor oplossing voor infusie;Uitsluitend recept
METRONIDAZOL - 200 mg/5 ml - Suspensie voor oraal gebruik;Uitsluitend recept
AMIODARON - 50 mg/ml - Oplossing voor injectie;Uitsluitend recept
LEVOBUPIVACAÏNE - 1,25 mg/ml - Oplossing voor infusie;Uitsluitend recept
FENTANYL - 533 microgram - Tablet voor sublinguaal gebruik;Uitsluitend recept
ISOFLURAAN - 100% - Vloeistof voor inhalatiedamp;Uitsluitend recept
HYDROCORTISON - 1 mg/g - Crème;Uitsluitend recept
PIRFENIDON - 267 mg - Capsule;Uitsluitend recept
SAPROPTERINE - 100 mg - Oplosbare tablet;Uitsluitend recept
DEXAMETHASON - 1mg/ml - Oogdruppels;Uitsluitend recept
TAMOXIFEN - 10 mg - Tablet;Uitsluitend recept
SEVELAMEER - 2,4 g - Poeder voor orale suspensie;Uitsluitend recept
PSMA-1007 (18F) - 1300 MBq/ml - Oplossing voor injectie;Uitsluitend recept
CANDESARTAN/HYDROCHLOORTHIAZIDE - 8/12,5 mg - Tablet;Uitsluitend recept
ESCITALOPRAM - 10 mg - Filmomhulde tablet;Uitsluitend recept
TOLTERODINE - 2 mg - Capsule met gereguleerde afgifte;Uitsluitend recept
SUXAMETHONIUM - 50 mg/ml - Oplossing voor injectie;Uitsluitend recept
HYDROXYZINE - 10 mg - Filmomhulde tablet;Uitsluitend recept
CYCLOPENTOLAAT - 1% - Oogdruppels;Uitsluitend recept
FLUMAZENIL - 0,1 mg/ml - Oplossing voor injectie;Uitsluitend recept
CEFTAZIDIM - 1000 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
SALBUTAMOL - 2 mg/ml - Verneveloplossing;Uitsluitend recept
(C2H3O2)-/(CL-)/(K+)/(E 508)/(MG2+) /(E 511)/(NA+) /(E 262)/ -  - Oplossing voor infusie;Uitsluitend recept
BRIMONIDINE - 0,25 mg/ml - Oogdruppels;Uitsluitend recept
LISDEXAMFETAMINE - 70 mg - Capsule;Uitsluitend recept
NORTRIPTYLINE - 10 mg - Tablet;Uitsluitend recept
DESOGESTREL/ETHINYLESTRADIOL -  - Tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE/OLMESARTANMEDOXOMIL - 40/25 mg - Filmomhulde tablet;Uitsluitend recept
(Ca2+)/(E 509)/(CL-)/GLUCOSE/(K+)/(E 508)/(MG2+)/(MG2+) /(E 511)/(NA+)//(E 500 (II))/(HCO3-) - 2 mmol/l - Oplossing voor hemofiltratie;Uitsluitend recept
CILASTATINE/IMIPENEM - 500mg/500mg - Poeder voor oplossing voor infusie;Uitsluitend recept
LEVOMETHADON - 15 mg - Drank;Uitsluitend recept
DIENOGEST/ESTRADIOL - 2 mg/2 mg - Omhulde tablet;Uitsluitend recept
(C2H3O2)-/ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/(E 509)/(CL-)/CYSTEÏNE (L-)/FENYLALANINE, (L-)/(3-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCERO-1(2)FOSTFAAT (4-6)-WATER/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/(K+)/(E 261)/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)//(D,L)(2-)/METHIONINE, (L-)/(NA+)/OLIJFOLIE, GEZUIVERD/ORNITHINE (L-)/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-) - 13% - Emulsie voor infusie;Uitsluitend recept
VINCRISTINE - 1 mg/ml - Oplossing voor injectie;Uitsluitend recept
MITOMYCINE - 10 mg - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
FUROSEMIDE - 10 mg/ml - Oplossing voor injectie;Uitsluitend recept
PROMETHAZINE - 1 mg/ml - Stroop;Uitsluitend recept
ALANINE, L-/, (L-)/FENYLALANINE, (L-)/GLUCOSE/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE, L-/METHIONINE, (L-)/OLIJFOLIE, GEZUIVERD/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/VISOLIE, RIJK AAN OMEGA-3-ZUREN -  - Emulsie voor infusie;Uitsluitend recept
(Ca2+)/(E 509)/(CL-)/FRUCTOSE (D-)/GLUCOSE/LACTAAT (S-VORM) (-)/(MG2+) /(E 511)/(NA+)//LACTAAT (S-VORM) (E 325) - 19 me - Oplossing voor peritoneale dialyse;Uitsluitend recept
PIRITRAMIDE - 10 mg/ml - Oplossing voor injectie;Uitsluitend recept
ROTIGOTINE - 6 mg/24 uur - Pleister voor transdermaal gebruik;Uitsluitend recept
MIDAZOLAM - 2,5 mg - Oplossing voor oromucosaal gebruik;Uitsluitend recept
ARIPIPRAZOL - 1 mg - Tablet;Uitsluitend recept
DOBUTAMINE - 5 mg/ml - Oplossing voor infusie;Uitsluitend recept
FLUTICASON/SALMETEROL - 50 microgram/500 microgram/ dosis - Inhalatiepoeder;Uitsluitend recept
CARBIDOPA/LEVODOPA - 10mg/100mg - Tablet;Uitsluitend recept
CARTEOLOL - 20 mg/ml - Oogdruppels met verlengde afgifte;Uitsluitend recept
HYDROCHLOORTHIAZIDE/VALSARTAN - 160 mg/12,5 mg - Filmomhulde tablet;Uitsluitend recept
ALFA 1 PROTEINASE INHIBITOR, HUMAAN - 1000 mg - Poeder en oplosmiddel voor oplossing voor infusie;Uitsluitend recept
FLUTICASON/SALMETEROL - 50 microgram/250 microgram - Inhalatiepoeder;Uitsluitend recept
CLOBAZAM - 10 mg - Tablet;Uitsluitend recept
AMLODIPINE/HYDROCHLOORTHIAZIDE/VALSARTAN - 10/320/25 mg - Filmomhulde tablet;Uitsluitend recept
AMLODIPINE/INDAPAMIDE - 1,5 mg / 5 mg - Tablet met gereguleerde afgifte;Uitsluitend recept
CICLOSPORINE - 0,9 mg/ml - Oogdruppels;Uitsluitend recept
MITOMYCINE - 20 mg - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
ETHINYLESTRADIOL/LEVONORGESTREL - 0,02 mg/0,1 mg - Filmomhulde tablet;Uitsluitend recept
TRAMADOL - 100 mg - Zetpil;Uitsluitend recept
COLCHICINE - 0.5 mg - Tablet;Uitsluitend recept
PLERIXAFOR - 20 mg/ml - Oplossing voor injectie;Uitsluitend recept
BUDESONIDE/FORMOTEROL - 100 microgram/6 microgram/dosis - Inhalatiepoeder;Uitsluitend recept
TETANUS CONJUGAAT VAN MENINGOCOCCEN (Stam C11) POLYSACCHARIDE, GROEP C -  - Suspensie voor injectie;Uitsluitend recept
IJZER(III)CARBOXYMALTOSE - 50 mg - Dispersie voor injectie of infusie;Uitsluitend recept
DUTASTERIDE - 0,5 mg - Capsule;Uitsluitend recept
LEVOTHYROXINE - 112 microgram - Tablet;Uitsluitend recept
BENDAMUSTINE - 25 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
LYNESTRENOL - 0,5 mg - Tablet;Uitsluitend recept
BUPRENORFINE - 52,5 microgram/uur - Pleister voor transdermaal gebruik;Uitsluitend recept
HELIUM, MEDICINAAL - 9% - Medicinaal gas;Uitsluitend recept
TERLIPRESSINE - 0,1 mg/ml - Oplossing voor injectie;Uitsluitend recept
INDOMETACINE - 50 mg - Zetpil;Uitsluitend recept
HEXAMINOLEVULINAAT - 85 mg - Oplossing voor intravesicaal gebruik;Uitsluitend recept
GLUCOSE - 10% - Oplossing voor infusie;Uitsluitend recept
CISATRACURIUM - 2 mg/ml - Oplossing voor injectie of infusie;Uitsluitend recept
MESALAZINE - 500 mg - Zetpil;Uitsluitend recept
 - 0,9% - Oplossing voor infusie;Uitsluitend recept
SOMATROPINE (rDNA) - 6 mg - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
IPRATROPIUM - 250 microgram/1 ml - Verneveloplossing;Uitsluitend recept
KETOTIFEN - 1 mg/5 ml - Stroop;Uitsluitend recept
(CL-)/(K+)/(E 508)/MACROGOL 3350/(NA+)//(E 500 (II))/(HCO3-) - 13,8 g - Poeder voor drank;Uitsluitend recept
PEMETREXED - 8 mg/ml - Oplossing voor infusie;Uitsluitend recept
FENTICONAZOL - 600 mg - Capsule voor vaginaal gebruik;Uitsluitend recept
DOMPERIDON - 10 mg - Tablet;Uitsluitend recept
INDAPAMIDE/PERINDOPRILTOSILAAT - 2,5 mg/0,625 mg - Filmomhulde tablet;Uitsluitend recept
JODIUM (MOLECULAIR)/MEGLUMINEAMIDOTRIZOAAT/AMIDOTRIZOAAT - 370 mg - Drank;Uitsluitend recept
HYDROCORTISON - 5 mg - Tablet;Uitsluitend recept
REMIFENTANIL - 2 mg - Concentraat voor oplossing voor injectie of infusie;Uitsluitend recept
ACETYLCYSTEÏNE - 200 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
ROPINIROL - 1 mg - Filmomhulde tablet;Uitsluitend recept
FERRIHYDROXIDE SUCROSE COMPLEX - 20 mg - Oplossing voor injectie;Uitsluitend recept
BETAHISTINE - 8 mg - Tablet;Uitsluitend recept
DULOXETINE - 120 mg - Maagsapresistente capsule;Uitsluitend recept
IRINOTECAN - 20mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
UROFOLLITROPINE - 150 IE - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
BRIMONIDINE/BRINZOLAMIDE - 10 mg/ml - Oogdruppels;Uitsluitend recept
ERLOTINIB - 150 mg - Omhulde tablet;Uitsluitend recept
BUPRENORFINE - 70 microgram/uur - Pleister voor transdermaal gebruik;Uitsluitend recept
(CL-)/(K+)/(E 508)/MACROGOL 3350/(NA+)//(E 500 (II))/(HCO3-) - 6,9 g - Poeder voor drank;Uitsluitend recept
HYDROCORTISON - 10 mg/g - Crème;Uitsluitend recept
FENYLEFRINE - 0,1 mg/ml - Oplossing voor injectie;Uitsluitend recept
DEXAMFETAMINE - 10 mg - Tablet;Uitsluitend recept
MEPIVACAINE - 20 mg/ml - Oplossing voor injectie;Uitsluitend recept
BUDESONIDE - 3 mg - Maagsapresistente capsule;Uitsluitend recept
DEMECLOCYCLINE - 300 mg - Capsule;Uitsluitend recept
NITROGLYCERINE - 0,4 mg/dosis - Spray voor oromucosaal gebruik;Uitsluitend recept
CEFTRIAXON - 1,0 g - Poeder voor oplossing voor injectie;Uitsluitend recept
FELODIPINE - 10 mg - Tablet met verlengde afgifte;Uitsluitend recept
CLIOQUINOL/FLUMETASON -  - Oordruppels;Uitsluitend recept
IJZEROXIDE ZWART (E 172)/PREGABALINE - 25 mg - Capsule;Uitsluitend recept
METHADON - 20 mg - Tablet;Uitsluitend recept
FENYTOÏNE - 46 mg - Tablet;Uitsluitend recept
APREPITANT - 125 mg/80 mg - Capsule;Uitsluitend recept
EBASTINE - 10 mg - Orodispergeerbare tablet;Uitsluitend recept
VALSARTAN - 40 mg - Filmomhulde tablet;Uitsluitend recept
(E 500 (II)) - 4,2% - Oplossing voor infusie;Uitsluitend recept
FUROSEMIDE - 10mg/ml - Oplossing voor injectie;Uitsluitend recept
PROCARBAZINE - 50 mg - Capsule;Uitsluitend recept
"HEPATITIS B OPPERVLAKTE ANTIGEEN, (rDNA, GISTAFGELEID) ""SKB BIOLOGICALS"" - 10 microgram/0,5 ml - Suspensie voor injectie";Uitsluitend recept
CLONAZEPAM - 0,5 mg - Tablet;Uitsluitend recept
LEVOTHYROXINE - 25 microgram - Drank;Uitsluitend recept
RIFAMPICINE - 300 mg - Capsule;Uitsluitend recept
EPROSARTAN/HYDROCHLOORTHIAZIDE - 600/12,5 mg - Filmomhulde tablet;Uitsluitend recept
CHOLECALCIFEROL - 1000 IE - Capsule;Uitsluitend recept
ESKETAMINE - 5 mg/ml - Oplossing voor injectie of infusie;Uitsluitend recept
(E 508) - 74,6 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
DYDROGESTERON/ESTRADIOL - 2 mg/10 mg - Filmomhulde tablet;Uitsluitend recept
OXYCODON - 20 mg - Capsule;Uitsluitend recept
SEVOFLURAAN - 100% - Vloeistof voor inhalatiedamp;Uitsluitend recept
LIOTHYRONINE - 12,5 microgram - Tablet;Uitsluitend recept
VORICONAZOL - 10 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
OFLOXACINE - 1,5 mg/0,5 ml - Oordruppels;Uitsluitend recept
LACTITOL  (E 966) - 667 mg/ml - Drank;Uitsluitend recept
MESALAZINE - 1,5g - Granulaat met verlengde afgifte;Uitsluitend recept
(CL-)/GLUCOSE/(K+)/(E 508) - 0,15% - Oplossing voor infusie;Uitsluitend recept
NALBUFINE - 10 mg/ml - Oplossing voor injectie;Uitsluitend recept
BUPRENORFINE - 0,3 mg/ml - Oplossing voor injectie;Uitsluitend recept
IBUPROFEN - 600 mg - Filmomhulde tablet;Uitsluitend recept
FENOTEROL/IPRATROPIUM -  - Aërosol;Uitsluitend recept
ATORVASTATINE/PERINDOPRIL - 10 mg/10 mg - Capsule;Uitsluitend recept
OMEPRAZOL - 1 mg/ml - Poeder voor orale suspensie;Uitsluitend recept
GALANTAMINE - 8 mg - Capsule met verlengde afgifte;Uitsluitend recept
MORFINE - 15 mg - Tablet met verlengde afgifte;Uitsluitend recept
HYDROCHLOORTHIAZIDE/RAMIPRIL - 5 mg/25 mg - Tablet;Uitsluitend recept
IPRATROPIUM - 0,04 mg - Inhalatiepoeder in harde capsule;Uitsluitend recept
(E 170) - 500 mg - Kauwtablet;Uitsluitend recept
DARIFENACINE - 7,5 mg - Tablet met verlengde afgifte;Uitsluitend recept
CICLOSPORINE - 50 mg/ml - Concentraat voor oplossing voor infusie;Uitsluitend recept
MIRTAZAPINE - 15 mg - Filmomhulde tablet;Uitsluitend recept
LEFLUNOMIDE - 10 mg - Filmomhulde tablet;Uitsluitend recept
CLARITROMYCINE - 250 mg - Filmomhulde tablet;Uitsluitend recept
CARMUSTINE - 100 mg - Poeder en oplosmiddel voor concentraat voor oplossing voor infusie;Uitsluitend recept
METHOTREXAAT - 5 mg - Oplossing voor injectie;Uitsluitend recept
ZIDOVUDINE - 100 mg - Capsule;Uitsluitend recept
MIDAZOLAM - 7,5 mg - Oplossing voor oromucosaal gebruik;Uitsluitend recept
PENTETINEZUUR - 20,8 mg - Kit voor radiofarmaceutisch preparaat;Uitsluitend recept
OXYCODON - 10 mg - Capsule;Uitsluitend recept
ONDANSETRON - 0,16 mg/ml - Oplossing voor infusie;Uitsluitend recept
OLANZAPINE - 7,5 mg - Tablet;Uitsluitend recept
CROMOGLICAAT - 100 mg - Drank;Uitsluitend recept
SELEGILINE - 5 mg - Tablet;Uitsluitend recept
(E 170)/CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM - 500 mg/400 IE - Kauwtablet;Uitsluitend recept
AMITRIPTYLINE - 10 mg - Filmomhulde tablet;Uitsluitend recept
CALCITRIOL - 0,5 microgram - Capsule;Uitsluitend recept
ADRENALINE/ARTICAÏNE - 40/0,005 mg/ml - Oplossing voor injectie;Uitsluitend recept
BENSERAZIDE/LEVODOPA - 100 mg/25 mg - Tablet;Uitsluitend recept
DIGOXINE - 0,05 mg/ml - Drank;Uitsluitend recept
LABETALOL - 100 mg - Filmomhulde tablet;Uitsluitend recept
JOMEPROL - 612 mg/ml - Oplossing voor injectie;Uitsluitend recept
CHROOM (Cr3+)/CHROOMTRI/MOLYBDAAT/SELENIET/FERRODIGLUCONAAT  (E 579)/FLUORIDE (F-)/IJZER (FE2+)/JODIDE (I-)/JODIDE/KOPER (Cu2+)/KOPERDIGLUCONAAT/MANGAAN (Mn2+)/MANGAANDIGLUCONAAT/MOLYBDEEN (Mo6+)/FLUORIDE/SELENIUM (Se4+)/ZINK (Zn2+)/ZINKDIGLUCONAAT -  - Concentraat voor oplossing voor infusie;Uitsluitend recept
EZETIMIB/ROSUVASTATINE ZINK - 40 mg/10 mg - Capsule;Uitsluitend recept
ZOLMITRIPTAN - 5 mg - Orodispergeerbare tablet;Uitsluitend recept
LISINOPRIL - 5 mg - Tablet;Uitsluitend recept
MACROSALB - 2 mg - Kit voor radiofarmaceutisch preparaat;Uitsluitend recept
TACROLIMUS - 1 mg - Capsule met verlengde afgifte;Uitsluitend recept
BORTEZOMIB - 2,5 mg - Poeder voor oplossing voor injectie;Uitsluitend recept
CLINDAMYCINE - 300 mg - Capsule;Uitsluitend recept
CLOFAZIMINE - 100 mg - Capsule;Uitsluitend recept
MEGESTROL - 160 mg - Tablet;Uitsluitend recept
ROCURONIUM - 10 mg/ml - Oplossing voor injectie of infusie;Uitsluitend recept
ALPRAZOLAM - 1 mg - Tablet;Uitsluitend recept
METHYLCELLULOSE (E 461) - 0,5% - Oogdruppels;Uitsluitend recept
DICLOFENAC - 75 mg/3 ml - Oplossing voor injectie;Uitsluitend recept
ALFACALCIDOL - 0,25 microgram - Capsule;Uitsluitend recept
FENOBARBITAL - 50 mg - Tablet;Uitsluitend recept
MITOMYCINE - 20 mg - Oplossing voor intravesicaal gebruik;Uitsluitend recept
BENSERAZIDE/LEVODOPA - 62,5 mg - Capsule;Uitsluitend recept
AMITRIPTYLINE - 50 mg - Filmomhulde tablet;Uitsluitend recept
ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/CYSTEINE (L-)  (E 920)/FENYLALANINE, (L-)/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE, (L-)/METHIONINE, (L-)/ORNITHINE (L-)/PROLINE, (L-)/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-) - 10% - Oplossing voor infusie;Uitsluitend recept
GLUCOSE - 400 mg/ml - Oplossing voor injectie;Uitsluitend recept
METFORMINE - 1000 mg - Tablet met verlengde afgifte;Uitsluitend recept
HYDROCHLOORTHIAZIDE/IRBESARTAN - 300 mg/ 12,5 mg - Filmomhulde tablet;Uitsluitend recept
DEOXYCHOLZUUR - 10 mg/ml - Oplossing voor injectie;Uitsluitend recept
CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM/ALENDRONAAT - 70 mg/5600 IE - Tablet;Uitsluitend recept
FUROSEMIDE - 20 mg/2 ml - Oplossing voor injectie;Uitsluitend recept
BECLOMETASON/FORMOTEROL - 100/6 microgram - Inhalatiepoeder;Uitsluitend recept
BUPRENORFINE - 52,5 µg/uur - Pleister voor transdermaal gebruik;Uitsluitend recept
DILTIAZEM - 180 mg - Capsule met gereguleerde afgifte;Uitsluitend recept
EBASTINE - 10 mg - Filmomhulde tablet;Uitsluitend recept
BECLOMETASON - 250 microgram/dosis - Aërosol;Uitsluitend recept
CIPROFLOXACINE - 2 mg/ml - Oplossing voor infusie;Uitsluitend recept
OXYCODON - 40 mg - Tablet met verlengde afgifte;Uitsluitend recept
KETOROLACTROMETAMOL - 0.5% - Oogdruppels;Uitsluitend recept
DEXAMETHASON - 4 mg - Tablet;Uitsluitend recept
BETAMETHASON/CALCIPOTRIOL - 50 microgram/g - Zalf;Uitsluitend recept
FOLLIKEL-STIMULEREND HORMOON/HUMAAN CHORIONGONADOTROFINE/HUMAAN MENOPAUZAAL GONADOTROFINE/LUTEÏNISEREND HORMOON - 150 IE - Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
(C2H3O2)-/ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/(E 509)/(CL-)/CYSTEÏNE (L-)/FENYLALANINE, (L-)/(3-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCERO-1(2)FOSTFAAT (4-6)-WATER/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/(K+)/(E 261)/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)//(L-)( 2-)/METHIONINE, (L-)/(NA+)/OLIJFOLIE, GEZUIVERD/ORNITHINE (L-)/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-) - 19% - Emulsie voor infusie;Uitsluitend recept
