PRESCRIBING_PRODUCT;PRODUCTNAAM;STERKTE;WERKZAMESTOFFEN_CLEAN;FARMACEUTISCHEVORM;AFLEVERSTATUS
ENTECAVIR - 1 mg - Filmomhulde tablet;Entecavir Zentiva 1 mg filmomhulde tabletten;1 mg;ENTECAVIR;Filmomhulde tablet;Uitsluitend recept
POSACONAZOL - 100 mg - Maagsapresistente tablet;Posaconazol Devatis 100 mg maagsapresistente tabletten;100 mg;POSACONAZOL;Maagsapresistente tablet;Uitsluitend recept
BEDAQUILINE - 100 mg - Tablet;Sirturo 100 mg, Tablet;100 mg;BEDAQUILINE;Tablet;Uitsluitend recept
GALSULFASE - 1 mg/ml - Concentraat voor oplossing voor infusie;Naglazyme, concentraat voor oplossing voor intraveneuze infusie 1 mg/ml;1 mg/ml;GALSULFASE;Concentraat voor oplossing voor infusie;Uitsluitend recept
PREGABALINE - 300 mg - Capsule;Pregabaline Mylan 300 mg, harde capsules;300 mg;PREGABALINE;Capsule, hard;Uitsluitend recept
SIMOCTOCOG ALFA - 1000 IE - Poeder en oplosmiddel voor oplossing voor injectie;Nuwiq 1000 IE poeder en oplosmiddel voor oplossing voor injectie;1000 IE;SIMOCTOCOG ALFA;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
AGARICUS MUSCARIUS/HEPAR SULPHUR/LYCOPODIUM CLAVATUM/PANCREAS SUIS/SULPHUR - 9 g - Globuli;Emvita 9 globuli;9 g;AGARICUS MUSCARIUS/HEPAR SULPHUR/LYCOPODIUM CLAVATUM/PANCREAS SUIS/SULPHUR;Globuli;Uitsluitend apotheek of drogist
ARIPIPRAZOL - 400 mg - Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Abilify Maintena 400 mg poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;400 mg;ARIPIPRAZOL;Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Uitsluitend recept
PARECOXIB - 40 mg - Poeder voor oplossing voor injectie;Dynastat 40 mg, poeder voor oplossing voor injectie;40 mg;PARECOXIB;Poeder voor oplossing voor injectie;Uitsluitend recept
AMOXICILLINE /CLAVULANAAT - 500 mg/125 mg - Filmomhulde tablet;Amoxicilline/Clavulaanzuur Devatis 500 mg/125 mg filmomhulde tabletten;500 mg/125 mg;AMOXICILLINE /CLAVULANAAT;Filmomhulde tablet;Uitsluitend recept
SOFOSBUVIR - 200 mg - Filmomhulde tablet;Sovaldi 200 mg, filmomhulde tablet;200 mg;SOFOSBUVIR;Filmomhulde tablet;Uitsluitend recept
VALOCTOCOGEEN ROXAPARVOVEC -  - Oplossing voor infusie;Roctavian, 2 × 10¹³ vg/ml, oplossing voor infusie;;VALOCTOCOGEEN ROXAPARVOVEC;Oplossing voor infusie;Uitsluitend recept
LAMIVUDINE - 5 mg/ml - Drank;Zeffix 5 mg/ml oplossing;5 mg/ml;LAMIVUDINE;Drank;Uitsluitend recept
RIVAROXABAN - 20 mg - Filmomhulde tablet;Rivaroxaban Viatris 20 mg filmomhulde tabletten;20 mg;RIVAROXABAN;Filmomhulde tablet;Uitsluitend recept
DESLORATADINE - 2,5 mg - Orodispergeerbare tablet;Neoclarityn 2,5 mg, orodispergeerbare tablet;2,5 mg;DESLORATADINE;Orodispergeerbare tablet;Uitsluitend recept
TACROLIMUS - 0,75 mg - Capsule;Tacrolimus Sandoz 0,75 mg, capsules, hard;0,75 mg;TACROLIMUS;Capsule, hard;Uitsluitend recept
HEPATITIS B OPPERVLAKTE ANTIGEEN, RECOMBINANT (HBsAg) - 10 microgram/ml - Suspensie voor injectie;HBVAXPRO 10 microgram/ml, suspensie voor injectie in flacon;10 microgram/ml;HEPATITIS B OPPERVLAKTE ANTIGEEN, RECOMBINANT (HBsAg);Suspensie voor injectie;Uitsluitend recept
JOFLUPAAN I 123 - 74 MBq/ml - Oplossing voor injectie;DaTSCAN 74 MBq/ml oplossing voor injectie;74 MBq/ml;JOFLUPAAN I 123;Oplossing voor injectie;Uitsluitend recept
FLUTICASONFUROAAT/VILANTEROLTRIFENATAAT -  - Inhalatiepoeder;Revinty Ellipta 184 mcg/22 mcg inhalatiepoeder, voorverdeeld;;FLUTICASONFUROAAT/VILANTEROLTRIFENATAAT;Inhalatiepoeder, voorverdeeld;Uitsluitend recept
VILDAGLIPTINE - 50 mg - Tablet;Xiliarx 50 mg, tabletten;50 mg;VILDAGLIPTINE;Tablet;Uitsluitend recept
CHOLECALCIFEROL CONCENTRAAT, POEDERVORM - 1000 IE - Tablet;Cholecalciferol mibe 1000 IE, tabletten;1000 IE;CHOLECALCIFEROL CONCENTRAAT, POEDERVORM;Tablet;Uitsluitend recept
ACONITUM NAPELLUS/ATROPA BELLA-DONNA/RHUS TOXICODENDRON -  - Druppels voor oraal gebruik;Head Care druppels;;ACONITUM NAPELLUS/ATROPA BELLA-DONNA/RHUS TOXICODENDRON;Druppels voor oraal gebruik, oplossing;Uitsluitend apotheek of drogist
RANIBIZUMAB - 10 mg/ml - Oplossing voor injectie;Ximluci 10 mg/ml, oplossing voor injectie;10 mg/ml;RANIBIZUMAB;Oplossing voor injectie;Uitsluitend recept
SILDENAFIL - 25 mg - Filmomhulde tablet;Sildenafil ratiopharm 25 mg, filmomhulde tabletten;25 mg;SILDENAFIL;Filmomhulde tablet;Uitsluitend recept
DROSPIRENON/ETHINYLESTRADIOL - 3 mg/0,03 mg - Filmomhulde tablet;Feminegi 3 mg/0,03 mg filmomhulde tabletten;3 mg/0,03 mg;DROSPIRENON/ETHINYLESTRADIOL;Filmomhulde tablet;Uitsluitend recept
RIVAROXABAN - 15 mg - Filmomhulde tablet;Xartil 15 mg filmomhulde tabletten;15 mg;RIVAROXABAN;Filmomhulde tablet;Uitsluitend recept
LONAPEGSOMATROPINE - 5,2 mg - Poeder en oplosmiddel voor oplossing voor injectie;Skytrofa 5,2 mg, poeder en oplosmiddel voor oplossing voor injectie in een patroon;5,2 mg;LONAPEGSOMATROPINE;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
ERLOTINIB - 25 mg - Filmomhulde tablet;Erlotinib Zentiva 25 mg, filmomhulde tabletten;25 mg;ERLOTINIB;Filmomhulde tablet;Uitsluitend recept
METFORMINE/SITAGLIPTINE - 50 mg - Filmomhulde tablet;Sitagliptine/Metforminehydrochloride SUN 50 mg/1 000 mg filmomhulde tabletten;50 mg;METFORMINE/SITAGLIPTINE;Filmomhulde tablet;Uitsluitend recept
CANDESARTAN - 2 mg - Tablet;Candesartan cilexetil Torrent 2 mg tabletten;2 mg;CANDESARTAN;Tablet;Uitsluitend recept
ERENUMAB - 140 mg - Oplossing voor injectie;Aimovig 140 mg oplossing voor injectie in voorgevulde spuit;140 mg;ERENUMAB;Oplossing voor injectie;Uitsluitend recept
RIVASTIGMINE - 4,5 mg - Capsule;Rivastigmine Sandoz 4,5 mg, capsules, hard;4,5 mg;RIVASTIGMINE;Capsule, hard;Uitsluitend recept
TRASTUZUMAB DERUXTECAN - 100 mg - Poeder voor concentraat voor oplossing voor infusie;Enhertu 100 mg, poeder voor concentraat voor oplossing voor infusie;100 mg;TRASTUZUMAB DERUXTECAN;Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
ABIRATERON - 500 mg - Filmomhulde tablet;Abirateron STADA 500 mg, filmomhulde tabletten;500 mg;ABIRATERON;Filmomhulde tablet;Uitsluitend recept
TEDIZOLID - 200 mg - Filmomhulde tablet;Sivextro 200 mg filmomhulde tabletten;200 mg;TEDIZOLID;Filmomhulde tablet;Uitsluitend recept
GENETISCH GEMODIFICEERDE AUTOLOGE T-CELLEN CODEREND VOOR ANTI-CD19 CHIMERE ANTIGEEN RECEPTOR -  - Oplossing voor infusie;Kymriah, dispersie voor infusie;;GENETISCH GEMODIFICEERDE AUTOLOGE T-CELLEN CODEREND VOOR ANTI-CD19 CHIMERE ANTIGEEN RECEPTOR;Oplossing voor infusie;Uitsluitend recept
SITAGLIPTINE - 50 mg - Filmomhulde tablet;Sitagliptine STADA 50 mg, filmomhulde tabletten;50 mg;SITAGLIPTINE;Filmomhulde tablet;Uitsluitend recept
ENFORTUMAB VEDOTIN - 20 mg - Poeder voor oplossing voor infusie;Padcev 20 mg, poeder voor oplossing voor infusie;20 mg;ENFORTUMAB VEDOTIN;Poeder voor oplossing voor infusie;Uitsluitend recept
DULOXETINE - 30 mg - Maagsapresistente capsule;Duloxetine Mylan 30 mg, harde maagsapresistente capsules;30 mg;DULOXETINE;Maagsapresistente capsule, hard;Uitsluitend recept
RUCAPARIBCAMSILAAT - 200 mg - Filmomhulde tablet;Rubraca 200 mg, filmomhulde tabletten;200 mg;RUCAPARIBCAMSILAAT;Filmomhulde tablet;Uitsluitend recept
EPTACOG BETA (GEACTIVEERD)/EPTACOG BETA (GEACTIVEERD) - 1mg - Poeder en oplosmiddel voor oplossing voor injectie;CEVENFACTA, 1mg, poeder en oplosmiddel voor oplossing voor injectie;1mg;EPTACOG BETA (GEACTIVEERD)/EPTACOG BETA (GEACTIVEERD);Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
DIMETHYL - 240 mg - Maagsapresistente capsule;Dimethylfumaraat SDZ 240 mg, harde maagsapresistente capsules;240 mg;DIMETHYL;Maagsapresistente capsule, hard;Uitsluitend recept
EPOËTINE ALFA - 20.000 IE/0,5 ml - Oplossing voor injectie;Abseamed 20.000 IE/0,5 ml oplossing voor injectie in een voorgevulde spuit;20.000 IE/0,5 ml;EPOËTINE ALFA;Oplossing voor injectie;Uitsluitend recept
ABIRATERON - 1000 mg - Filmomhulde tablet;Bixodalan 1000 mg, filmomhulde tabletten;1000 mg;ABIRATERON;Filmomhulde tablet;Uitsluitend recept
CORYNEBACTERIUM DIPHTHERIAE CRM197 PROTEÏNE/MENINGOKOKKEN OLIGOSACCHARIDE, SEROGROEP A GECONJUGEERD AAN C. DIFTERIE CRM197 CARRIERPROTEÏNE/MENINGOKOKKEN OLIGOSACCHARIDE, SEROGROEP C GECONJUGEERD AAN C. DIFTERIE CRM197 CARRIERPROTEÏNE/MENINGOKOKKEN OLIGOSACCHARIDE, SEROGROEP W135 GECONJUGEERD AAN C. DIFTERIE CRM197 CARRIERPROTEÏNE/MENINGOKOKKEN OLIGOSACCHARIDE, SEROGROEP Y GECONJUGEERD AAN C. DIFTERIE CRM197 CARRIERPROTEÏNE -  - Poeder en oplosmiddel voor oplossing voor injectie;Menveo, poeder en oplossing voor oplossing voor injectie;;CORYNEBACTERIUM DIPHTHERIAE CRM197 PROTEÏNE/MENINGOKOKKEN OLIGOSACCHARIDE, SEROGROEP A GECONJUGEERD AAN C. DIFTERIE CRM197 CARRIERPROTEÏNE/MENINGOKOKKEN OLIGOSACCHARIDE, SEROGROEP C GECONJUGEERD AAN C. DIFTERIE CRM197 CARRIERPROTEÏNE/MENINGOKOKKEN OLIGOSACCHARIDE, SEROGROEP W135 GECONJUGEERD AAN C. DIFTERIE CRM197 CARRIERPROTEÏNE/MENINGOKOKKEN OLIGOSACCHARIDE, SEROGROEP Y GECONJUGEERD AAN C. DIFTERIE CRM197 CARRIERPROTEÏNE;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
DESLORATADINE - 5 mg - Filmomhulde tablet;Aerius 5 mg, filmomhulde tabletten;5 mg;DESLORATADINE;Filmomhulde tablet;Uitsluitend recept
TACROLIMUS - 3 mg - Capsule met verlengde afgifte;Conferoport 3 mg, harde capsules met verlengde afgifte;3 mg;TACROLIMUS;Capsule met verlengde afgifte, hard;Uitsluitend recept
AMBRISENTAN - 10 mg - Filmomhulde tablet;Volibris 10 mg filmomhulde tabletten;10 mg;AMBRISENTAN;Filmomhulde tablet;Uitsluitend recept
LATANOPROST - 50 microgram/ml - Oogdruppels;Exprosol 50 microgram/ml oogdruppels, oplossing;50 microgram/ml;LATANOPROST;Oogdruppels, oplossing;Uitsluitend recept
ETANERCEPT - 50 mg - Oplossing voor injectie;Benepali 50 mg oplossing voor injectie in een voorgevulde pen;50 mg;ETANERCEPT;Oplossing voor injectie;Uitsluitend recept
TUSSILAGO PETASITES -  - Druppels voor oraal gebruik;Tussilago petasites;;TUSSILAGO PETASITES;Druppels voor oraal gebruik, oplossing;Uitsluitend apotheek of drogist
DABIGATRAN - 75 mg - Capsule;Dabigatranetexilaat Leon Farma 75 mg harde capsules;75 mg;DABIGATRAN;Capsule, hard;Uitsluitend recept
DARATUMUMAB - 100 mg - Concentraat voor oplossing voor infusie;Darzalex 100 mg, concentraat voor oplossing voor infusie;100 mg;DARATUMUMAB;Concentraat voor oplossing voor infusie;Uitsluitend recept
OZANIMOD - 0,46 mg - Capsule;Zeposia 0,46 mg capsule, hard;0,46 mg;OZANIMOD;Capsule, hard;Uitsluitend recept
VARENICLINE/VARENICLINE - 0,5 mg - Filmomhulde tablet;Champix 0,5 mg + 1 mg, filmomhulde tabletten;0,5 mg;VARENICLINE/VARENICLINE;Filmomhulde tablet;Uitsluitend recept
CEFUROXIMAXETIL - 500 mg - Filmomhulde tablet;Cefuroxim Mylan 500 mg, filmomhulde tabletten;500 mg;CEFUROXIMAXETIL;Filmomhulde tablet;Uitsluitend recept
TEMOZOLOMIDE - 100 mg - Capsule;Temozolomide Accord 100 mg, capsules;100 mg;TEMOZOLOMIDE;Capsule, hard;Uitsluitend recept
LAROTRECTINIB - 20 mg/ml - Drank;Vitrakvi 20 mg/ml, drank;20 mg/ml;LAROTRECTINIB;Drank;Uitsluitend recept
SITAGLIPTINE - 50 mg - Filmomhulde tablet;Xelevia 50 mg filmomhulde tabletten;50 mg;SITAGLIPTINE;Filmomhulde tablet;Uitsluitend recept
ABROTANUM -  - Tablet;Abrotanum;;ABROTANUM;Tablet;Uitsluitend apotheek of drogist
FACTOR VIII, HUMAAN/VON WILLEBRAND FACTOR, HUMAAN -  - Poeder en oplosmiddel voor oplossing voor injectie;Voncento 500 IU / 1200 IU, Poeder en oplosmiddel voor oplossing voor injectie of infusie;;FACTOR VIII, HUMAAN/VON WILLEBRAND FACTOR, HUMAAN;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
EX-VIVO GEËXPANDEERD AUTOLOOG HUMAAN CORNEAAL EPITHEEL DAT STAMCELLEN BEVAT, SUSPENSIE VAN KERATINOCYTEN -  - Levend weefsel equivalent;Holoclar, levend weefsel equivalent;;EX-VIVO GEËXPANDEERD AUTOLOOG HUMAAN CORNEAAL EPITHEEL DAT STAMCELLEN BEVAT, SUSPENSIE VAN KERATINOCYTEN;Levend weefsel equivalent;Uitsluitend recept
BRIVARACETAM - 25 mg - Filmomhulde tablet;Briviact 25 mg, filmomhulde tabletten;25 mg;BRIVARACETAM;Filmomhulde tablet;Uitsluitend recept
IBANDRONAAT - 50 mg - Filmomhulde tablet;Ibandroninezuur Teva 50 mg, filmomhulde tablet;50 mg;IBANDRONAAT;Filmomhulde tablet;Uitsluitend recept
DIFTERIETOXOÏDE, GEADSORBEERD, GEINACTIVEERD/HAEMOPHILUS INFLUENZAE TYPE B Stam Ross POLYSACCHARIDE GECONJUGEERD AAN EIWITCOMPLEX VAN DE BUITENMEMBRAAN VAN NEISSERIA MENINGITIDIS SEROGROEP B Stam B11/HAEMOPHILUS INFLUENZAE TYPE B Stam Ross,  CAPSULAIRE POLYSACHARIDE POLYRIBOSYLRIBITOL, HOOG GEZUIVERD /HEPATITIS B OPPERVLAKTE ANTIGEEN, RECOMBINANT (HBsAg)/NEISSERIA MENINGITIDIS SEROGROEP B Stam B11 GEÏNACTIVEERD, BUITENMEMBRAAN EIWITCOMPLEX/PERTACTINE (69KD Buitenmembraan Proteine)/PERTUSSIS AGGLUTINOGENEN, FIMBRIALE TYPE 2 en 3, GEADSORBEERD/PERTUSSIS, FILAMENTEUS HAEMAGGLUTININE, GEADSORBEERD/PERTUSSISTOXOÏDE, GEINACTIVEERD, GEADSORBEERD/POLIOMYELITIS VIRUS TYPE I (Mahoney Stam) MONOVALENT, GEÏNACTIVEERD/POLIOMYELITIS VIRUS TYPE II (MEF-1 Stam) MONOVALENT, GEÏNACTIVEERD/POLIOMYELITIS VIRUS TYPE III (Saukett Stam) MONOVALENT, GEÏNACTIVEERD/TETANUSTOXOÏDE, GEADSORBEERD, GEINACTIVEERD -  - Suspensie voor injectie;Vaxelis, suspensie voor injectie in voorgevulde spuit;;DIFTERIETOXOÏDE, GEADSORBEERD, GEINACTIVEERD/HAEMOPHILUS INFLUENZAE TYPE B Stam Ross POLYSACCHARIDE GECONJUGEERD AAN EIWITCOMPLEX VAN DE BUITENMEMBRAAN VAN NEISSERIA MENINGITIDIS SEROGROEP B Stam B11/HAEMOPHILUS INFLUENZAE TYPE B Stam Ross,  CAPSULAIRE POLYSACHARIDE POLYRIBOSYLRIBITOL, HOOG GEZUIVERD /HEPATITIS B OPPERVLAKTE ANTIGEEN, RECOMBINANT (HBsAg)/NEISSERIA MENINGITIDIS SEROGROEP B Stam B11 GEÏNACTIVEERD, BUITENMEMBRAAN EIWITCOMPLEX/PERTACTINE (69KD Buitenmembraan Proteine)/PERTUSSIS AGGLUTINOGENEN, FIMBRIALE TYPE 2 en 3, GEADSORBEERD/PERTUSSIS, FILAMENTEUS HAEMAGGLUTININE, GEADSORBEERD/PERTUSSISTOXOÏDE, GEINACTIVEERD, GEADSORBEERD/POLIOMYELITIS VIRUS TYPE I (Mahoney Stam) MONOVALENT, GEÏNACTIVEERD/POLIOMYELITIS VIRUS TYPE II (MEF-1 Stam) MONOVALENT, GEÏNACTIVEERD/POLIOMYELITIS VIRUS TYPE III (Saukett Stam) MONOVALENT, GEÏNACTIVEERD/TETANUSTOXOÏDE, GEADSORBEERD, GEINACTIVEERD;Suspensie voor injectie;Uitsluitend recept
APIS MELLIFICA/BARYTA CARBONICA/ESCHSCHOLTZIA CALIFORNICA/GRAPHITES/IGNATIA AMARA/NAJA TRIPUDIANS/THYMI GLANDULAE EXTRACTUM SUIS - 12 g - Globuli;Emvita 12 globuli;12 g;APIS MELLIFICA/BARYTA CARBONICA/ESCHSCHOLTZIA CALIFORNICA/GRAPHITES/IGNATIA AMARA/NAJA TRIPUDIANS/THYMI GLANDULAE EXTRACTUM SUIS;Globuli;Uitsluitend apotheek of drogist
LEVONORGESTREL - 1,5 mg - Tablet;Levonorgestrel HTP 1,5 mg, tabletten;1,5 mg;LEVONORGESTREL;Tablet;Uitsluitend apotheek of drogist
EFAVIRENZ - 50 mg - Capsule;Stocrin 50 mg, capsules;50 mg;EFAVIRENZ;Capsule, hard;Uitsluitend recept
SARCOLACTICUM ACIDUM -  - ;Sarcolacticum acidum;;SARCOLACTICUM ACIDUM;;Uitsluitend apotheek of drogist
EFANESOCTOCOG ALFA -  - Poeder en oplosmiddel voor oplossing voor injectie;ALTUVOCT 2.000 I.E. poeder en oplosmiddel voor oplossing voor injectie;;EFANESOCTOCOG ALFA;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
EVEROLIMUS - 2,5 mg - Tablet;Everolimus Zentiva 2,5 mg, tabletten;2,5 mg;EVEROLIMUS;Tablet;Uitsluitend recept
AMLODIPINE/VALSARTAN - 10 mg/160 mg - Filmomhulde tablet;Dafiro 10 mg/160 mg filmomhulde tabletten;10 mg/160 mg;AMLODIPINE/VALSARTAN;Filmomhulde tablet;Uitsluitend recept
ERTUGLIFLOZINE-L-PYROGLUTAMINEZUUR - 15 mg - Filmomhulde tablet;Steglatro 15 mg filmomhulde tabletten;15 mg;ERTUGLIFLOZINE-L-PYROGLUTAMINEZUUR;Filmomhulde tablet;Uitsluitend recept
MAVACAMTEN - 2,5 mg - Capsule;CAMZYOS 2,5 mg harde capsules;2,5 mg;MAVACAMTEN;Capsule, hard;Uitsluitend recept
CINACALCET - 60 mg - Filmomhulde tablet;Cinacalcet Genepharm 60 mg filmomhulde tabletten;60 mg;CINACALCET;Filmomhulde tablet;Uitsluitend recept
ALLIUM SATIVUM -  - ;Allium sativum;;ALLIUM SATIVUM;;Uitsluitend apotheek of drogist
TEMOZOLOMIDE - 140 mg - Capsule;Temozolomide Teva 140 mg, capsule;140 mg;TEMOZOLOMIDE;Capsule, hard;Uitsluitend recept
CHOLECALCIFEROL/CHOLECALCIFEROL - 3200 IE - Capsule;Colecalciferol 1A Pharma 3200 IE, zachte capsules;3200 IE;CHOLECALCIFEROL/CHOLECALCIFEROL;Capsule, zacht;Uitsluitend recept
NALOXEGOL - 25 mg - Filmomhulde tablet;Moventig 25 mg filmomhulde tabletten;25 mg;NALOXEGOL;Filmomhulde tablet;Uitsluitend recept
SIROLIMUS - 0,5 mg - Omhulde tablet;Rapamune 0,5 mg omhulde tabletten;0,5 mg;SIROLIMUS;Omhulde tablet;Uitsluitend recept
GLUCAGON (rDNA) - 3 mg - Snuifpoeder;Baqsimi 3 mg, snuifpoeder;3 mg;GLUCAGON (rDNA);Snuifpoeder;Uitsluitend recept
DARUNAVIR - 400 mg - Filmomhulde tablet;Darunavir Zentiva 400 mg, filmomhulde tabletten;400 mg;DARUNAVIR;Filmomhulde tablet;Uitsluitend recept
DEXAMETHASON - 700 microgram - Intravitreaal implant in applicator;Ozurdex 700 microgram, intravitreaal implantaat in applicator;700 microgram;DEXAMETHASON;Intravitreaal implant in applicator;Uitsluitend recept
FESOTERODINE - 8 mg - Tablet met verlengde afgifte;Toviaz 8 mg, tablet met verlengde afgifte;8 mg;FESOTERODINE;Tablet met verlengde afgifte;Uitsluitend recept
METHOXYPOLYETHYLEENGLYCOLEPOETINE BETA - 40 µg/0,3 ml - Oplossing voor injectie;Mircera 40 µg/0,3 ml, oplossing voor injectie (in voorgevulde spuit);40 µg/0,3 ml;METHOXYPOLYETHYLEENGLYCOLEPOETINE BETA;Oplossing voor injectie;Uitsluitend recept
RIVASTIGMINE - 2 mg/ml - Drank;Rivastigmine 1A Pharma 2 mg/ml, drank;2 mg/ml;RIVASTIGMINE;Drank;Uitsluitend recept
TREOSULFAN - 1 g - Poeder voor oplossing voor infusie;Trecondi 1 g poeder voor oplossing voor infusie;1 g;TREOSULFAN;Poeder voor oplossing voor infusie;Uitsluitend recept
SOMATROPINE - 5 mg/1,5 ml - Oplossing voor injectie;Omnitrope 5 mg/1,5 ml, oplossing voor injectie;5 mg/1,5 ml;SOMATROPINE;Oplossing voor injectie;Uitsluitend recept
SACUBITRIL/SACUBITRIL VALSARTAN TRIHEMIPENTAHYDRAAT/VALSARTAN - 24 mg/26 mg - Filmomhulde tablet;Entresto 24 mg/26 mg filmomhulde tabletten;24 mg/26 mg;SACUBITRIL/SACUBITRIL VALSARTAN TRIHEMIPENTAHYDRAAT/VALSARTAN;Filmomhulde tablet;Uitsluitend recept
ENTECAVIR - 0,5 mg - Filmomhulde tablet;Baraclude 0,5 mg, filmomhulde tabletten;0,5 mg;ENTECAVIR;Filmomhulde tablet;Uitsluitend recept
ERLOTINIB - 25 mg - Filmomhulde tablet;Erlotinib Vipharm 25 mg filmomhulde tabletten;25 mg;ERLOTINIB;Filmomhulde tablet;Uitsluitend recept
CABOZANTINIB (S)- - 20 mg - Filmomhulde tablet;Cabometyx 20 mg, filmomhulde tablet;20 mg;CABOZANTINIB (S)-;Filmomhulde tablet;Uitsluitend recept
CHORIOGONADOTROPINE ALFA - 250 microgram/0,5 ml - Oplossing voor injectie;Ovitrelle 250 microgram/0,5 ml, oplossing voor injectie in een voorgevulde spuit;250 microgram/0,5 ml;CHORIOGONADOTROPINE ALFA;Oplossing voor injectie;Uitsluitend recept
TELMISARTAN - 80 mg - Tablet;Micardis 80 mg, tabletten;80 mg;TELMISARTAN;Tablet;Uitsluitend recept
LENALIDOMIDE - 2,5 mg - Capsule;Lenalidomide ratiopharm 2,5 mg, harde capsules;2,5 mg;LENALIDOMIDE;Capsule, hard;Uitsluitend recept
EXENATIDE, SYNTHETISCH - 5 microgram - Oplossing voor injectie;Byetta, 5 microgram, oplossing voor injectie in voorgevulde pen;5 microgram;EXENATIDE, SYNTHETISCH;Oplossing voor injectie;Uitsluitend recept
PERAMPANEL - 12 mg - Filmomhulde tablet;Fycompa 12 mg filmomhulde tabletten;12 mg;PERAMPANEL;Filmomhulde tablet;Uitsluitend recept
VOLANESORSEN - 285 mg - Oplossing voor injectie;Waylivra 285 mg oplossing voor injectie in voorgevulde spuit;285 mg;VOLANESORSEN;Oplossing voor injectie;Uitsluitend recept
FOLLITROPINE ALFA -  - Poeder en oplosmiddel voor oplossing voor injectie;GONAL-f 75 I.E. poeder en oplosmiddel voor oplossing voor injectie;;FOLLITROPINE ALFA;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
DROSPIRENON/ESTETROL - 14,2mg/3 mg - Filmomhulde tablet;Drovelis 14,2mg/3 mg, filmomhulde tabletten;14,2mg/3 mg;DROSPIRENON/ESTETROL;Filmomhulde tablet;Uitsluitend recept
LACOSAMIDE - 200 mg - Filmomhulde tablet;Lacosamide UCB 200 mg, filmomhulde tabletten;200 mg;LACOSAMIDE;Filmomhulde tablet;Uitsluitend recept
MELFALAN - 200 mg - Poeder voor concentraat voor oplossing voor infusie;PHELINUN 200 mg poeder en oplosmiddel voor concentraat voor oplossing voor infusie;200 mg;MELFALAN;Poeder voor concentraat voor oplossing voor infusie;Uitsluitend recept
LACOSAMIDE - 150 mg - Filmomhulde tablet;Lacosamide UCB 150 mg, filmomhulde tabletten;150 mg;LACOSAMIDE;Filmomhulde tablet;Uitsluitend recept
VENLAFAXINE - 37,5 mg - Capsule met verlengde afgifte;Venlafaxine Fair-Med 37,5 mg capsules met verlengde afgifte, hard;37,5 mg;VENLAFAXINE;Capsule met verlengde afgifte, hard;Uitsluitend recept
INSULINE HUMAAN - 40 internationale eenheden/ml - Oplossing voor injectie;Actrapid 40 internationale eenheden/ml oplossing voor injectie in injectieflacon;40 internationale eenheden/ml;INSULINE HUMAAN;Oplossing voor injectie;Uitsluitend recept
IRBESARTAN - 75 mg - Tablet;Irbesartan Zentiva 75 mg, tabletten;75 mg;IRBESARTAN;Tablet;Uitsluitend recept
CENOBAMAAT - 50mg - Filmomhulde tablet;Ontozry 50mg, filmomhulde tablet;50mg;CENOBAMAAT;Filmomhulde tablet;Uitsluitend recept
IRBESARTAN - 300 mg - Filmomhulde tablet;Karvea 300 mg, filmomhulde tabletten;300 mg;IRBESARTAN;Filmomhulde tablet;Uitsluitend recept
MEMANTINE - 10 mg - Filmomhulde tablet;Memantine-Merz 10 mg, filmomhulde tabletten;10 mg;MEMANTINE;Filmomhulde tablet;Uitsluitend recept
INSULINE HUMAAN - 100 IE/ml - Oplossing voor injectie;Insuman Infusat 100 IE/ml oplossing voor injectie in een injectieflacon;100 IE/ml;INSULINE HUMAAN;Oplossing voor injectie;Uitsluitend recept
SEVELAMEER - 2,4 g - Poeder voor orale suspensie;Renvela 2,4 g, poeder voor orale suspensie;2,4 g;SEVELAMEER;Poeder voor orale suspensie;Uitsluitend recept
ENZALUTAMIDE - 80 mg - Filmomhulde tablet;Enzalutamide 1A Pharma 80 mg, filmomhulde tabletten;80 mg;ENZALUTAMIDE;Filmomhulde tablet;Uitsluitend recept
EPTACOG ALFA (GEACTIVEERD)/EPTACOG ALFA (GEACTIVEERD) - 8 mg - Poeder en oplosmiddel voor oplossing voor injectie;NovoSeven 8 mg (400 KIE) poeder en oplosmiddel voor oplossing voor injectie;8 mg;EPTACOG ALFA (GEACTIVEERD)/EPTACOG ALFA (GEACTIVEERD);Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
FLUCONAZOL - 100 mg - Capsule;Fluconazol Sandoz 100 mg, harde capsules;100 mg;FLUCONAZOL;Capsule, hard;Uitsluitend recept
